"Name","Phone","Rating","Votes","Locality","City"
"Shiv Medical Hall","+ 91  7044290319","","0","Bholath","Kapurthala"
"Mintu Auto Dealer","+ 91  9537169456","","0","","Kapurthala"
"Raman Property Dealers","+ 91  9874640864","","0","Kapurthala Ho","Kapurthala"
"Janta Medical Hall","+ 91  01822230832","","0","Kapurthala Ho","Kapurthala"
"Aryan Medicos","+ 91  9877177737","","0","Raipur","Kapurthala"
"Kasturi Lal & Sons","+ 91  18235574923","5.0","1","Kapurthala Ho","Kapurthala"
"Bangal Medical Hall","+ 91  9927152995","","0","kapurthala","Kapurthala"
"Jawahar Medico","+ 91  18287947160","","0","Kapurthala Ho","Kapurthala"
"Friends Medical Store","+ 91  9826615381","","0","","Kapurthala"
"Bedi Medical Hall","","","0","Kapurthala Ho","Kapurthala"
"Mahajan Medicos","","","0","Kapurthala Ho","Kapurthala"
"Kapurthala Auto Dealer And Property Dealer","+ 91  9893066781","5.0","2","Kapurthala Ho","Kapurthala"
"Jain Medicos","","","0","Kapurthala Ho","Kapurthala"
"Kapurthala Auto Dealer And Property Dealer","+ 91  9879393137","5.0","2","Kapurthala Ho","Kapurthala"
"Mahajan Medico","+ 91  9845520207","","0","Kapurthala Ho","Kapurthala"
"Sharma Medicine Traders","+ 91  7545376804","","0","Rail Coach Factory","Kapurthala"
"Verma Medical Hall","+ 91  018284447873","","0","Kapurthala Ho","Kapurthala"
"Satguru Medicine Shop","+ 91  18289714493","","0","Kapurthala Ho","Kapurthala"
"Western Medical Store","+ 91  18253588964","","0","Kapurthala Ho","Kapurthala"
"Puri Medical Hall","","","0","Kapurthala Ho","Kapurthala"
"Sandhu Medical Hall","+ 91  9866599607","","0","Shahkot","Kapurthala"
"Lamba Medical Hall","+ 91  1829985266","4.8","5","Begowal","Kapurthala"
"Sharma Medical Hall","+ 91  18231457339","","0","Kapurthala Ho","Kapurthala"
"Bhatti Medical Hall","+ 91  9837099889","","0","Shahkot","Kapurthala"
"Dashmesh Medicine Center","+ 91  9811096451","","0","Dhilwan","Kapurthala"
"Anand Medical Store","+ 91  9852514869","4.0","1","Kapurthala Ho","Kapurthala"
"Satguru Medicines","+ 91  9881634306","","0","","Kapurthala"
"Durga Medico","+ 91  18276933301","","0","Nakodar","Kapurthala"
"Raj Medical Hall","+ 91  1822269061","3.0","2","Kapurthala Ho","Kapurthala"
"Bhui Medical Store","+ 91  982237193","4.5","8","Wadala Kalan","Kapurthala"
"G D Medical Hall","+ 91  18217141220","","0","Kapurthala Ho","Kapurthala"
"Waheguru Medicos","+ 91  9891869157","","0","Rail Coach Factory","Kapurthala"
"Prince Marbles - Marble Dealers","+ 91  9336757364","5.0","2","Begowal","Kapurthala"
"Nav Nidhi Medicos","","","0","Kapurthala Ho","Kapurthala"
"Guru Kirpa Auto Dealer & Finance Co.","+ 91  982349065","","0","Sheikhupur","Kapurthala"
"Judge Medicine Chamber","+ 91  9911489522","4.7","18","","Kapurthala"
"Raj Medical Hall","+ 91  18247968333","","0","Kapurthala Ho","Kapurthala"
"Raju Medicos","","","0","Kapurthala Ho","Kapurthala"
"Vijay Medical Hall","+ 91  018279527511","4.5","3","Kapurthala Ho","Kapurthala"
"Metro Medicos","","","0","Kapurthala Ho","Kapurthala"
"Raman Property Dealers","+ 91  9831939917","","0","Kapurthala Ho","Kapurthala"
"Khalsa Medicos ","+ 91  9824640006","5.0","5","","Kapurthala"
"Chadda Medical Hall","+ 91  18281225416","","0","Kapurthala Ho","Kapurthala"
"Arora Medical Store","+ 91  18240261474","","0","Kapurthala Ho","Kapurthala"
"Mintu Auto Dealer","+ 91  9579580548","","0","","Kapurthala"
"Sodi Medical Hall","+ 91  18219564907","2.5","1","Nadala","Kapurthala"
"Real Property Dealer","+ 91  9257456151","","0","Kapurthala HO","Kapurthala"
"Satguru Medicine Shop","+ 91  18212385634","","0","Kapurthala Ho","Kapurthala"
"Dashmesh Medicine Center","+ 91  981507217","","0","Dhilwan","Kapurthala"
"Shiv Medicos","+ 91  018299598475","","0","Kapurthala Ho","Kapurthala"
"Dasmesh Medicine Centre","+ 91  988482245","","0","Dhilwan","Kapurthala"
"Moga Medicos","+ 91  9815264197","5.0","23","Begowal","Kapurthala"
"Prince Marbles - Marble Dealers","+ 91  9339470017","5.0","2","Begowal","Kapurthala"
"Sagar Medicos","+ 91  9861785701","","0","Near Khajanchiya Mohalla","Kapurthala"
"Deep Medical Store","+ 91  983988641","","0","Nakodar","Kapurthala"
"Duggal Pharmaceutical","+ 91  9864695731","5.0","2","Rehana Jattan","Kapurthala"
"Suri Medicos","+ 91  18231506993","","0","Kapurthala Ho","Kapurthala"
"Bawa Medical Hall","+ 91  18260974052","","0","Kapurthala Ho","Kapurthala"
"Aggarwal Medical Store","+ 91  9879725296","3.8","4","Kapurthala HO","Kapurthala"
"Real Property Dealer","+ 91  9264564994","","0","Kapurthala HO","Kapurthala"
"Dasmesh Medicine Centre","+ 91  983307370","","0","Dhilwan","Kapurthala"
"Paul Medical Hall","","","0","Kapurthala Ho","Kapurthala"
"Verma Medicos","+ 91  9810982175","","0","Nakodar","Kapurthala"
"Prince Marbles - Marble Dealers","+ 91  937485774","5.0","2","Begowal","Kapurthala"
"Vipan Medical Hall","+ 91  018213650794","","0","Kapurthala Ho","Kapurthala"
"Weston Medical Store","+ 91  018214164160","4.7","6","Kapurthala Ho","Kapurthala"
"Mulkani Medical Store","+ 91  18237067918","","0","Kapurthala Ho","Kapurthala"
"Lakhanpal Medical Store","+ 91  18275896820","","0","Bholath","Kapurthala"
"Bhardwaj Medical Store","+ 91  018285854871","","0","Kapurthala Ho","Kapurthala"
"Jethi Medical Hall","+ 91  18242568856","","0","Kapurthala Ho","Kapurthala"
"Healthy Happiness","+ 91  18210218356","","0","Central Town ","Kapurthala"
"Khalsa Hospital","+ 91  9823204272","3.6","9","Rurka Kalan","Kapurthala"
"Dashmesh Medicine Center","+ 91  9882302006","","0","Dhilwan","Kapurthala"
"DUA Medical Co","+ 91  018290462153","","0","Kapurthala Ho","Kapurthala"
"Senior Medical","+ 91  18283002298","","0","Kapurthala Ho","Kapurthala"
"Himdev Medical Hall","+ 91  9839375589","","0","Kapurthala Ho","Kapurthala"
"Guru Kirpa Auto Dealer & Finance Co.","+ 91  9864392696","","0","Sheikhupur","Kapurthala"
"Dashmesh Medicine Center","+ 91  9831586060","","0","Dhilwan","Kapurthala"
"Vijay Naresh Medicos","","","0","Bholath","Kapurthala"
"Puri Medical Hall","+ 91  18292921716","5.0","1","Sultanpur Lodhi","Kapurthala"
"Gaba Medical Hall","+ 91  1829173744","","0","Kapurthala Ho","Kapurthala"
"Surindra Medicos","+ 91  018257401677","","0","Kapurthala Ho","Kapurthala"
"Weston Medical Store","","","0","Kapurthala Ho","Kapurthala"
"Bhatia Medical Store","+ 91  18263861305","","0","Kapurthala Ho","Kapurthala"
"Prince Medical Hall","+ 91  9844801424","","0","Nakodar","Kapurthala"
"Juneja Medical Store","+ 91  8160242421","5.0","2","Shahkot","Kapurthala"
"S R  Medical Hall","+ 91  9895388710","3.7","7","Dialpur","Kapurthala"
"Koushik Medical Store","+ 91  1828743222","","0","Kapurthala Ho","Kapurthala"
"Systema Pharma","+ 91  018288772652","","0","Kapurthala Ho","Kapurthala"
"Bassan Medical Hall","+ 91  1828769392","","0","Kapurthala Ho","Kapurthala"
"Wilson Drugs & Pharma","","","0","Kapurthala Ho","Kapurthala"
"Baba Medical Clinic","+ 91  9891737837","","0","Nakodar","Kapurthala"
"Bhatia Medical Store","","","0","Kapurthala Ho","Kapurthala"
"Shaheria Ayurvedic Dawakhana","+ 91  9870662440","","0","Sultanpur Lodhi","Kapurthala"
"Rana Medical Hall","+ 91  9839127389","4.1","7","Kapurthala Ho","Kapurthala"
"Kulnoor Finance","+ 91  9532503892","3.0","4","Nadala","Kapurthala"
"Harbhjan Medicos","+ 91  9829321416","","0","Bhandal Bet","Kapurthala"
"Sahib Medical Agencies","+ 91  018216871389","","0","Kapurthala Ho","Kapurthala"
"Jyoti Medical Store","+ 91  18243179397","","0","Kapurthala Ho","Kapurthala"
"Batra Medical Agencies","+ 91  9444526153","5.0","1","Railway Road","Kapurthala"
"Kartar Medical Store","+ 91  9873918814","","0","Begowal","Kapurthala"
"Chandan Medical Store","+ 91  9968420244","5.0","2","Miani Bakerpur","Kapurthala"
"Judge Medicine Chamber","+ 91  9978205322","4.7","18","","Kapurthala"
"Karamjot Medical Store","+ 91  9793251855","5.0","6","Begowal","Kapurthala"
"SAT Kartar Medicos","+ 91  9818103772","","0","Nakodar","Kapurthala"
"Shri Guru Nanak Medical Hall","+ 91  987396770","5.0","3","Begowal","Kapurthala"
"Om Medical","+ 91  18221970729","","0","Kapurthala Ho","Kapurthala"
"Padda Medical Hall","+ 91  9938995207","5.0","2","oopsite punjab national bank","Kapurthala"
"J K Medical Hall","+ 91  01828767422","","0","Kapurthala Ho","Kapurthala"
"Sethi Medical Hall","+ 91  18299296386","","0","Kapurthala Ho","Kapurthala"
"Sr Medical Hall","+ 91  9080200084","3.0","1","Dialpur","Kapurthala"
"Gurav Medical Hall","+ 91  18220418987","","0","Kapurthala Ho","Kapurthala"
"Raman Property Dealers","+ 91  9896939113","","0","Kapurthala Ho","Kapurthala"
"Judge Medicine Chamber","+ 91  9977331243","4.7","18","","Kapurthala"
"Vikas Medical Store","+ 91  1828010810","5.0","1","Bholath","Kapurthala"
"Mintu Auto Dealer","+ 91  9540449267","","0","","Kapurthala"
"Moudgil Medical Hall","+ 91  018241204153","","0","Kapurthala Ho","Kapurthala"
"Dasmesh Medicine Centre","+ 91  9857824605","","0","Dhilwan","Kapurthala"
"Uttam Medical Store","+ 91  7046862938","5.0","2","","Kapurthala"
"Walia Medicos","+ 91  018284960252","","0","Kapurthala Ho","Kapurthala"
"Multani Medical","+ 91  9839759072","5.0","1","Begowal","Kapurthala"
"Satguru Medicine Shop","+ 91  18265477365","","0","Kapurthala Ho","Kapurthala"
"V K Enterprises","+ 91  983540681","3.5","3","Opposite Kaushal Nursing Home ","Near Ramneek Hotel "
"Raja Medical Store","+ 91  7843205019","5.0","6","","Kapurthala"
"Dashmesh Medical Hall","+ 91  7929581834","5.0","2","Ghurka","Kapurthala"
"Dasmesh Medicine Centre","+ 91  9847490422","","0","Dhilwan","Kapurthala"
"Guru Kirpa Auto Dealer & Finance Co.","+ 91  9869332114","","0","Sheikhupur","Kapurthala"
"Arneja Medical Store","+ 91  9493346111","4.5","1","Kapurthala Ho","Kapurthala"
"Satguru Medicine Shop","+ 91  18226613687","","0","Kapurthala Ho","Kapurthala"
