"Name","Phone","Rating","Votes","Locality","City"
"Maruti Medical Store","+ 91  27986965802","2.5","1","Bagasra Amreli","Amreli"
"Yash General Medicals","+ 91  27999413345","5.0","4","Vadiya","Amreli"
"Raj Medical Store","+ 91  9850914924","","0","Bagasra Amreli","Amreli"
"Krishna Medical","+ 91  9952005028","","0","Dungar","Amreli"
"Shivam Medical & General Stores","+ 91  27920923460","0.5","1","Babra","Amreli"
"Radheshyam Chemist","+ 91  9818747397","5.0","6","","Amreli"
"Tirupati Medical Stores","+ 91  27961075340","","0","Savarkundla","Amreli"
"Shreeji Medical Store","+ 91  9813728171","","0","Timbi","Amreli"
"Surya Vandana Enverter & Luminus Enverter Dealer","+ 91  9726701609","1.0","2","Jafrabad","Amreli"
"Mahavir Medical Store","+ 91  9273505838","","0","Lathi","Amreli"
"Mahaveer Medical Store","+ 91  27950244258","4.0","1","Lathi","Amreli"
"Swami Medical & General Store","+ 91  9453532489","5.0","1","Near Nagrik Bank","Amreli"
"Kohionoor Medical Store","+ 91  9971848483","","0","Rajula","Amreli"
"Manoj Medicals","+ 91  9994807498","4.0","1","Savarkundla","Amreli"
"Shree Khodiyar Agro Chemicals","+ 91  9421642724","4.0","4","Savarkundla","Amreli"
"Hindustan Agro Center","+ 91  9744097432","5.0","2","Station Road Amreli","Amreli"
"Shreeji Medical Store","+ 91  9967422683","","0","Timbi","Amreli"
"Allindia medical store","+ 91  27933404319","5.0","1","Rajula","Amreli"
"Anay Enterprise-Jindal Aluminium Dealer","+ 91  9510404656","","0","Mota-Ankadiya","Amreli"
"Harikrishna Medical Agency","+ 91  27995385117","4.3","3","Near Marketing Yard Road","Amreli"
"Royal Medical","+ 91  9120042805","4.0","2","Amreli HO","Amreli"
"Amrut Medical & General Store","+ 91  27971941076","0.5","1","Lathi","Amreli"
"Jay Medical Store","+ 91  9923342407","5.0","10","Bagasra Amreli","Amreli"
"Patel Medical Store","+ 91  9912774919","","0","Kunkavav","Amreli"
"Dev Medicine","+ 91  9440315116","5.0","5","Rajula","Amreli"
"Gayatri Medical Stores","+ 91  9425754030","5.0","1","Savarkundla","Amreli"
"Jigar Dada","+ 91  9643098301","5.0","2","Simran","Amreli"
"Shree Ganesh Medical Store","+ 91  9976893728","3.3","8","Amreli Ho","Amreli"
"Rajal Medical Store","","","0","Savarkundla","Amreli"
"Shiv Medical Store","+ 91  7315530855","","0","","Amreli"
"Akshar Medical & General Store","+ 91  941333443","","0","Savarkundla","Amreli"
"Madhav Medical","+ 91  9719792561","5.0","2","Timbi","Amreli"
"Shyam Medicare Pharmacy","+ 91  7679420355","5.0","2","Liliya","Amreli"
"Milan. M. Limbasiya","+ 91  9099048512","5.0","10","Balapur","Amreli"
"Navdeep Medical Store","+ 91  27976219293","","0","Savarkundla","Amreli"
"Shyam Medical Store","+ 91  9849324308","","0","Dhari Amreli","Amreli"
"Shivam Medical Store","+ 91  27973051238","","0","Savarkundla","Amreli"
"Varun Medical","+ 91  7018208819","","0","Dhari Amreli","Amreli"
"Mayur Medical & General Store","+ 91  27967878197","5.0","1","Rajula Amreli","Amreli"
"Shree Ram Medicals","+ 91  28499463528","","0","Savarkundla","Amreli"
"Regal Medical Store","+ 91  27954821197","","0","Timbi","Amreli"
"Vasant Medical Store","+ 91  9468770644","5.0","4","Damnagar Amreli","Amreli"
"Hariom Medical Store","+ 91  9445318213","5.0","2","","Amreli"
"Anupam Medical Store","+ 91  2794118715","","0","Bagasra Amreli","Amreli"
"Savaj Medicines","+ 91  27986994405","5.0","4","Amreli HO","Amreli"
"Gayarti Medical Store","+ 91  9482293514","4.0","1","Kunkavav","Amreli"
"Parikh Medical Stores","+ 91  02793517634","4.3","3","Near Tower Chowk","Amreli"
"Krupa Medical & General Stores","+ 91  27927803324","5.0","4","Station Road Amreli","Amreli"
"Shree Nathji Agro","+ 91  9726578432","5.0","3","Sanala","Amreli"
"Patel Medical Store","+ 91  027979611806","4.7","6","Civil Road-Amreli","Amreli"
"Sagar Medical Store","+ 91  9497469499","","0","Bagasra Amreli","Amreli"
"Navdeep Medicines","+ 91  9949994403","","0","","Amreli"
"Radhe Medical Store","","","0","Bagasra Amreli","Amreli"
"Dev Medicine","+ 91  9410160309","5.0","5","Rajula","Amreli"
"CAR Dealers...","+ 91  9984430411","","0","","Amreli"
"Maulin Medical Store","+ 91  27925133117","","0","Jafrabad","Amreli"
"Diamond Medical Store","+ 91  27930218352","4.5","2","Amreli Ho","Amreli"
"Madhwani Medical Store (Rahat Dare Davao)","+ 91  9938279867","5.0","1","Opp RAGHUVIR PAAN","Amreli"
"Amee Medical Agency","+ 91  27929875206","","0","","Amreli"
"Hari Om Medicine","+ 91  9987536552","","0","","Amreli"
"Sant Krupa Medical Store","+ 91  9885102235","","0","Dedan","Amreli"
"Parth Medical Store","+ 91  9884512892","","0","Timbi","Amreli"
"Krishna Medical","+ 91  27933183856","4.0","2","Chittal Road Amreli","Amreli"
"Unit Medical","+ 91  9431396923","","0","Savarkundla","Amreli"
"Amreli Medical Store","+ 91  8559369650","5.0","3","Opposite Avadh Times","Amreli"
"Maruti Medicine","+ 91  27982749243","","0","","Amreli"
"Raj Medical Store","+ 91  8981908141","5.0","1","Bagasra Amreli","Amreli"
"DEV Medical & General Store","+ 91  9836682791","","0","Kunkavav","Amreli"
"Ambika Medical Store","+ 91  9478299834","","0","Kunkavav","Amreli"
"Jalaram Medical Store","+ 91  9458920681","5.0","2","Babra","Amreli"
"Shyam Medical","+ 91  027952569787","5.0","1","Rajula","Amreli"
