"Name","Phone","Rating","Votes","Locality","City"
"Kamal Medicine & Ayurvedic Centre","+ 91  18169958213","4.5","9","Preet Nagar","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9891544896","5.0","232","Shahkot","Jalandhar"
"Medicine Counter","+ 91  9725489406","","0","Jalandhar City","Jalandhar"
"Promise Ultrasound & Fetal Medicine Centre","+ 91  18190749359","4.8","61","Jalandhar City","Jalandhar"
"Mahajan Medicine Traders","+ 91  18162384667","","0","Jalandhar City","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18154508663","4.7","3","Jalandhar City","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18195638063","4.7","3","Jalandhar City","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18127400133","4.5","9","Preet Nagar","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9889455478","5.0","232","Shahkot","Jalandhar"
"Dream 2 Destination Consultancy","+ 91  9119491931","5.0","4","Jalandhar City","Jalandhar"
"Medicine Centre","+ 91  018111191810","4.5","2","Ashok Nagar","Jalandhar"
"Medicine Centre","+ 91  018161010668","4.5","2","Ashok Nagar","Jalandhar"
"Medicine Centre","+ 91  018170756271","4.5","2","Ashok Nagar","Jalandhar"
"Arora Medicine Traders","+ 91  18123403992","4.8","5","Civil Lines","Jalandhar"
"Kendriya Vidyalaya No 4","+ 91  18135862890","2.8","2","Jalandhar City","Jalandhar"
"Medicine Centre","+ 91  018192581486","4.5","2","Ashok Nagar","Jalandhar"
"Friends Property Dealer","+ 91  7614007270","4.8","14","Adarsh Nagar","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9821188137","5.0","232","Shahkot","Jalandhar"
"Arora Medicine Traders","+ 91  18189179188","4.8","5","Civil Lines","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9819382271","5.0","232","Shahkot","Jalandhar"
"Mahajan Medicine Traders","+ 91  18155482070","","0","Jalandhar City","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18127092212","4.5","9","Preet Nagar","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18184977931","4.7","3","Jalandhar City","Jalandhar"
"Medicine Counter","+ 91  9751049119","","0","Jalandhar City","Jalandhar"
"Medicine Counter","+ 91  9723038429","","0","Jalandhar City","Jalandhar"
"M.g Medicine Center","+ 91  9839018850","5.0","1","Hardayal Nagar","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9861592339","5.0","232","Shahkot","Jalandhar"
"Promise Ultrasound & Fetal Medicine Centre","+ 91  18130472864","4.8","61","Jalandhar City","Jalandhar"
"Arora Medicine Traders","+ 91  1819594342","4.8","5","Civil Lines","Jalandhar"
"medicine medico merchant","+ 91  7545011033","","0","GTB Avenue","Jalandhar"
"Chocolates 4 You","+ 91  18171253874","4.9","61","Model Town","Jalandhar"
"Arora Medicine Traders","+ 91  18195262836","4.8","5","Civil Lines","Jalandhar"
"Medicine medicos trand","+ 91  754575403","","0","GTB Avenue","Jalandhar"
"M.g Medicine Center","+ 91  9833042397","5.0","1","Hardayal Nagar","Jalandhar"
"medicine medico merchant","+ 91  7555301636","","0","GTB Avenue","Jalandhar"
"Medicine Counter","+ 91  9778551357","","0","Jalandhar City","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18192134473","4.7","3","Jalandhar City","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18159379257","4.5","9","Preet Nagar","Jalandhar"
"Medicine Centre","+ 91  018155847283","4.5","2","Ashok Nagar","Jalandhar"
"Police Station Div No. 4","+ 91  18188404396","2.7","18","Jalandhar City","Jalandhar"
"Arora Medicine Traders","+ 91  18118516453","4.8","5","Civil Lines","Jalandhar"
"medicine medico merchant","+ 91  7528591916","","0","GTB Avenue","Jalandhar"
"medicine medico merchant","+ 91  7554288700","","0","GTB Avenue","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18139517158","4.5","9","Preet Nagar","Jalandhar"
"medicine medico merchant","+ 91  753780676","","0","GTB Avenue","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18129876233","4.7","3","Jalandhar City","Jalandhar"
"Pets 2 Home","+ 91  9117941108","3.8","38","Model Town","Jalandhar"
"Satyam Property Dealer","+ 91  9895813655","4.8","4","Jalandhar City","Jalandhar"
"Fat 2 Fit Gym","+ 91  9687972201","3.8","54","Jalandhar Cantt","Jalandhar"
"Anil Walia Property Dealer","+ 91  9189260280","4.0","6","Jalandhar City","Jalandhar"
