"Name","Phone","Rating","Votes","Locality","City"
"Arora Medicine Traders","+ 91  18145859982","4.8","5","Civil Lines","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9855353868","5.0","232","Shahkot","Jalandhar"
"Chocolates 4 You","+ 91  18180290069","4.9","61","Model Town","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18154603574","4.5","9","Preet Nagar","Jalandhar"
"Medicine Centre","+ 91  018114529219","4.5","2","Ashok Nagar","Jalandhar"
"medicine medico merchant","+ 91  7560360804","","0","GTB Avenue","Jalandhar"
"Mahajan Medicine Traders","+ 91  18178831834","","0","Jalandhar City","Jalandhar"
"Friends Property Dealer","+ 91  7615895514","4.8","14","Adarsh Nagar","Jalandhar"
"Promise Ultrasound & Fetal Medicine Centre","+ 91  18187750377","4.8","61","Jalandhar City","Jalandhar"
"Kendriya Vidyalaya No 4","+ 91  18179874453","2.8","2","Jalandhar City","Jalandhar"
"Medicine Centre","+ 91  018113506131","4.5","2","Ashok Nagar","Jalandhar"
"Medicine Counter","+ 91  9746223548","","0","Jalandhar City","Jalandhar"
"Fat 2 Fit Gym","+ 91  9651021314","3.8","54","Jalandhar Cantt","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9887561315","5.0","232","Shahkot","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18185683923","4.7","3","Jalandhar City","Jalandhar"
"Arora Medicine Traders","+ 91  18186291673","4.8","5","Civil Lines","Jalandhar"
"Police Station Div No. 4","+ 91  18133795954","2.7","18","Jalandhar City","Jalandhar"
"Medicine Counter","+ 91  9769687577","","0","Jalandhar City","Jalandhar"
"medicine medico merchant","+ 91  7557620706","","0","GTB Avenue","Jalandhar"
"medicine medico merchant","+ 91  7575232966","","0","GTB Avenue","Jalandhar"
"medicine medico merchant","+ 91  7591140438","","0","GTB Avenue","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  982628610","5.0","232","Shahkot","Jalandhar"
"M.g Medicine Center","+ 91  9840160069","5.0","1","Hardayal Nagar","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18111595006","4.7","3","Jalandhar City","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18163949743","4.5","9","Preet Nagar","Jalandhar"
"Arora Medicine Traders","+ 91  18131856932","4.8","5","Civil Lines","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18111099641","4.7","3","Jalandhar City","Jalandhar"
"Medicine Centre","+ 91  01819961025","4.5","2","Ashok Nagar","Jalandhar"
"Medicine Counter","+ 91  9712686692","","0","Jalandhar City","Jalandhar"
"Medicine Centre","+ 91  018185523578","4.5","2","Ashok Nagar","Jalandhar"
"M.g Medicine Center","+ 91  9842702761","5.0","1","Hardayal Nagar","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18173155998","4.5","9","Preet Nagar","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9885654064","5.0","232","Shahkot","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18132012457","4.7","3","Jalandhar City","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18188942008","4.5","9","Preet Nagar","Jalandhar"
"Dream 2 Destination Consultancy","+ 91  915532958","5.0","4","Jalandhar City","Jalandhar"
"Satyam Property Dealer","+ 91  9887209657","4.8","4","Jalandhar City","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18191062558","4.5","9","Preet Nagar","Jalandhar"
"Medicine Counter","+ 91  9793517667","","0","Jalandhar City","Jalandhar"
"Anil Walia Property Dealer","+ 91  9164772893","4.0","6","Jalandhar City","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18140379710","4.7","3","Jalandhar City","Jalandhar"
"Promise Ultrasound & Fetal Medicine Centre","+ 91  18121271218","4.8","61","Jalandhar City","Jalandhar"
"Arora Medicine Traders","+ 91  18139369650","4.8","5","Civil Lines","Jalandhar"
"Arora Medicine Traders","+ 91  18180818555","4.8","5","Civil Lines","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9867818943","5.0","232","Shahkot","Jalandhar"
"Mahajan Medicine Traders","+ 91  18132750386","","0","Jalandhar City","Jalandhar"
"Pets 2 Home","+ 91  9137002134","3.8","38","Model Town","Jalandhar"
"Medicine Centre","+ 91  018151222700","4.5","2","Ashok Nagar","Jalandhar"
"Medicine Counter","+ 91  9796704558","","0","Jalandhar City","Jalandhar"
"medicine medico merchant","+ 91  7594599021","","0","GTB Avenue","Jalandhar"
