"Name","Phone","Rating","Votes","Locality","City"
"Pharmahopers.com","+ 91  9174176905","4.6","113","Panchkula Sector 11","Chandigarh"
"Cynak Healthcare","+ 91  9119476063","4.7","3","Sonipat Sector 14","Sonepat"
"Pcd Pharma Franchise By Boffin Biotech Pvt Ltd","+ 91  8076635525","4.6","13","Near Balaji Battery","Sirmaur"
"Sukh Darshan Pharmacy Pvt. Ltd.","+ 91  9118483612","4.3","14","Rai","Sonepat"
"Drug For Life India Pvt Ltd","+ 91  9143089428","4.4","17","Mani Majra","Chandigarh"
"Pharma Franchisee & Manufacturing by Saksham Pharmaceuticals India Ltd","+ 91  916955743","4.3","38","Rajiv Nagar","Delhi"
"Pharma Pcd Franchise By Prk Biotech","+ 91  9183012806","3.4","11","Mani Majra","Chandigarh"
"Pharma Franchise By Janus Biotech India Pvt Ltd","+ 91  9142760955","4.4","27","Raipur Kalan","Chandigarh"
"Kiama Lifesciences","+ 91  9154262884","5.0","6","Panchkula Industrial Area Phase 2","Chandigarh"
"V Revive Medicure Pvt. Ltd.","+ 91  91785506","4.4","28","Chandigarh","Chandigarh"
"Shri Sai Balaji Pharmatech Pvt. Ltd.","+ 91  9181996803","4.2","27","Mdc Sector 5","Chandigarh"
"Pharma Pcd Franchise By Arrier Biotech","+ 91  17258164084","4.2","102","Mani Majra","Chandigarh"
"Healthkind Labs Pvt Ltd","+ 91  9117234643","4.4","7","","Chandigarh"
"Bio Search Organics","+ 91  9131845262","4.5","51","Ferozepur Road","Ludhiana"
"angio life healthcare","+ 91  9142221329","4.6","26","Mani Majra","Chandigarh"
"Alish Life Savings Impex Pvt Ltd","+ 91  9126150835","3.4","13","Andheri West","Mumbai"
"Monopoly Pcd Pharma Franchise By Disecure Pharma","+ 91  9141931151","4.8","33","Jabalpur Ho","Jabalpur"
"Spruhaa Healthcare","+ 91  9140927767","4.3","4","Vashi Sector 17","Mumbai"
"Alpic Biotech LTD","+ 91  943264419","3.7","12","Makarba","Ahmedabad"
"Veecube Healthcare Pvt. Ltd.","+ 91  9111433437","4.4","17","Panchkula Industrial Area Phase 1","Chandigarh"
"Flanca Life Sciences","+ 91  9167331526","4.3","24","Chandigarh","Chandigarh"
"Pcd Pharma Franchise By Sb Lifesciences","+ 91  9185740815","4.1","51","Panchkula Industrial Area Phase 2","Chandigarh"
"Servocare Lifesciences Pvt. Ltd.","+ 91  9114883383","4.0","63","Panchkula Industrial Area Phase 1","Chandigarh"
"KS LABS","+ 91  9173121301","3.9","7","Near Main Industrial Area Phase2","Chandigarh"
"Deebee Brothers","+ 91  9162503308","4.7","15","Vasna","Ahmedabad"
"Dortmund Laboratories Pvt Ltd","+ 91  025189535203","3.0","17","Dombivli East","Mumbai"
"Metamorf Lifesciences","+ 91  9149018579","3.8","9","Mani Majra","Chandigarh"
