"Name","Phone","Rating","Votes","Locality","City"
"Dairy Development Department","+ 91  022 81125114","","","Worli","Mumbai"
"Dairy Don","+ 91  9333071880","4.0","286","Goregaon West","Mumbai"
"Dairy Don","+ 91  8644069265","4.0","496","Shanti Park-Mira Road","Mumbai"
"Dairy Don","+ 91  022 71535781","4.1","552","Jogeshwari West","Mumbai"
"Dairy Development Department","+ 91  022 23459349","","","Worli","Mumbai"
"Aamaj Farsan & Dairy Shop","+ 91  8875844716","","0","Virar East","Mumbai"
"Dairy Don","+ 91  9268344567","3.9","387","Vile Parle East","Mumbai"
"Principal Dairy Science Institute","+ 91  022 42420502","4.3","18","Goregaon East","Mumbai"
"Dairy Don","+ 91  9924782994","4.1","509","Kandivali West","Mumbai"
"Dairy Don","+ 91  9961060958","4.1","509","Kandivali West","Mumbai"
"Dairy Don","+ 91  9843756758","3.8","350","Ghatkopar East","Mumbai"
"Dairy Development Department","+ 91  022 32691627","","","Worli","Mumbai"
"Dairy Don","+ 91  9224844178","3.9","387","Vile Parle East","Mumbai"
"Dairy Don","+ 91  9311604450","4.0","286","Goregaon West","Mumbai"
"Dairy Don","+ 91  9363910941","4.0","286","Goregaon West","Mumbai"
"Jackys Farm & Dairy Product Shop","+ 91  22 56197190","","0","Dadar West","Mumbai"
"Dairy Don","+ 91  8627206440","4.0","496","Shanti Park-Mira Road","Mumbai"
"Dairy Don","+ 91  9276943692","3.9","387","Vile Parle East","Mumbai"
"Happy Dairy Shops","+ 91  7214240335","3.5","2","Mulund West","Mumbai"
"Dairy Shop Navi Mumbai","+ 91  986137748","4.5","1","Uran","Mumbai"
"Dairy Don","+ 91  9827495078","4.1","343","Borivali West","Mumbai"
"Dairy Don","+ 91  9251016817","3.9","387","Vile Parle East","Mumbai"
"Dairy Don","+ 91  9873118344","3.8","350","Ghatkopar East","Mumbai"
"Dairy Don","+ 91  8664640585","4.0","496","Shanti Park-Mira Road","Mumbai"
"Principal Dairy Science Institute","+ 91  022 51022019","4.3","18","Goregaon East","Mumbai"
"Dairy Don","+ 91  9877345573","4.1","343","Borivali West","Mumbai"
"Dairy Don","+ 91  9844738018","3.8","350","Ghatkopar East","Mumbai"
"Dairy Don","+ 91  9954009472","4.1","509","Kandivali West","Mumbai"
"Anant Dairy Shop","+ 91  9530851687","","0","Mankhurd","Mumbai"
"Principal Dairy Science Institute","+ 91  022 70115523","4.3","18","Goregaon East","Mumbai"
"Dairy Don","+ 91  998489947","4.0","613","Kings Circle","Mumbai"
"Balkrishna Dairy ( Patanjali Shop )","+ 91  9742163212","","0","Kalyan East","Mumbai"
"Dairy Don","+ 91  9976795156","4.1","509","Kandivali West","Mumbai"
"Dairy Don","+ 91  993178235","4.0","613","Kings Circle","Mumbai"
"Dairy Don","+ 91  022 96460404","4.1","552","Jogeshwari West","Mumbai"
"Dairy Don","+ 91  9966612854","4.0","613","Kings Circle","Mumbai"
"Dairy Don","+ 91  9842321276","3.8","350","Ghatkopar East","Mumbai"
"dairy shop","+ 91  7544169074","2.5","2","Kandivali West","Mumbai"
"Dairy Don","+ 91  9894363380","4.1","343","Borivali West","Mumbai"
"Arey Dairy Shop","+ 91  9059371093","","0","Dadar West","Mumbai"
"Dairy Don","+ 91  022 8487972","4.1","552","Jogeshwari West","Mumbai"
"Principal Dairy Science Institute","+ 91  022 95536977","4.3","18","Goregaon East","Mumbai"
"Dairy Don","+ 91  8645400873","4.0","496","Shanti Park-Mira Road","Mumbai"
"Shidivinayak dairy Shop","+ 91  98187681","5.0","1","Bhayandar East","Mumbai"
"Dairy Development Department","+ 91  022 61206064","","","Worli","Mumbai"
"Dairy Don","+ 91  9359557236","4.0","286","Goregaon West","Mumbai"
"Dairy Don","+ 91  9977133220","4.0","613","Kings Circle","Mumbai"
"Dairy Don","+ 91  9861710324","4.1","343","Borivali West","Mumbai"
"Pradeep Dairy And Milk Shop","+ 91  2236465458","4.5","2","Kalyan West","Mumbai"
"Dairy Don","+ 91  022 75890328","4.1","552","Jogeshwari West","Mumbai"
