"Name","Phone","Rating","Votes","Locality","City"
"Events Pharmaceuticals Pvt Ltd","+ 91  9137350129","3.4","8","Ambala City","Ambala"
"Ganraj Medico","+ 91  9173720831","4.6","17","Vazirabad","Nanded"
"Ravi Worldwide Medicines Pvt.Ltd","+ 91  9146764175","5.0","1","Karol Bagh","Delhi"
"Kolkata Ravi Specialities Pharma PVT.LTD","+ 91  9155755613","5.0","1","","Kolkata"
"Alish Life Savings Impex Pvt Ltd","+ 91  9128970974","3.4","13","Andheri West","Mumbai"
"Arth Sales Agency","+ 91  9989483438","3.7","46","Vesu","Surat"
"Bio Search Organics","+ 91  9114403619","4.5","51","Ferozepur Road","Ludhiana"
"Flanca Life Sciences","+ 91  9158782534","4.3","24","Chandigarh","Chandigarh"
"Veecube Healthcare Pvt. Ltd.","+ 91  9197818982","4.4","17","Panchkula Industrial Area Phase 1","Chandigarh"
"Pharmahopers.com","+ 91  9169825967","4.6","113","Panchkula Sector 11","Chandigarh"
"Sukh Darshan Pharmacy Pvt. Ltd.","+ 91  9135183803","4.3","14","Rai","Sonepat"
"Dev Lifesciences Pvt Ltd","+ 91  9396879796","4.2","193","Vasai West","Mumbai"
"Pcd Pharma Franchise By Sb Lifesciences","+ 91  9165491270","4.1","51","Panchkula Industrial Area Phase 2","Chandigarh"
"Pharma Franchisee & Manufacturing by Saksham Pharmaceuticals India Ltd","+ 91  9147274393","4.3","38","Rajiv Nagar","Delhi"
"Mahajan Medical Agencies","+ 91  01894534636","4.8","31","Dharamsala","Dharamshala"
"Imphal - Ravi Specialities Pharma Pvt Ltd","+ 91  9189385495","5.0","1","","Imphal"
"Pharma Pcd Franchise By Arrier Biotech","+ 91  17269701388","4.2","102","Mani Majra","Chandigarh"
"Pharma Franchise By Janus Biotech India Pvt Ltd","+ 91  9127497204","4.4","27","Raipur Kalan","Chandigarh"
"Ravi Specialities Pharma Pvt Ltd","+ 91  043119109536","4.3","73","Ramalinganagar South","Trichy"
