"Name","Phone","Rating","Votes","Locality","City"
"Varun Hpscsc Medicine Shop","+ 91  9490295249","5.0","4","","Dharamshala"
"Bio Search Organics","+ 91  9158523418","4.5","51","Ferozepur Road","Ludhiana"
"Alish Life Savings Impex Pvt Ltd","+ 91  9110105475","3.4","13","Andheri West","Mumbai"
"Ravi Worldwide Medicines Pvt.Ltd","+ 91  9132969786","5.0","1","Karol Bagh","Delhi"
"Servocare Lifesciences Pvt. Ltd.","+ 91  9116007303","4.0","63","Panchkula Industrial Area Phase 1","Chandigarh"
"Pharma Pcd Franchise By Arrier Biotech","+ 91  17231992232","4.2","102","Mani Majra","Chandigarh"
"Imphal - Ravi Specialities Pharma Pvt Ltd","+ 91  9143189800","5.0","1","","Imphal"
"Events Pharmaceuticals Pvt Ltd","+ 91  9144063926","3.4","8","Ambala City","Ambala"
"Himachal Medicine Traders","+ 91  18976826293","","0","Dharamsala","Dharamshala"
"Ganraj Medico","+ 91  9156524118","4.6","17","Vazirabad","Nanded"
"Alpic Biotech LTD","+ 91  9460416395","3.7","12","Makarba","Ahmedabad"
"Dr. Kelsang Dhonden Tibetan Herbal Medicine Clinic","+ 91  9878903089","4.2","16","Mcleod Ganj","Dharamshala"
"Dr. Mayurs Energy Medicine","+ 91  993483601","","0","","Dharamshala"
"Pcd Pharma Franchise By Sb Lifesciences","+ 91  9187678452","4.1","51","Panchkula Industrial Area Phase 2","Chandigarh"
"Ravi Specialities Pharma Pvt Ltd","+ 91  043121191048","4.3","73","Ramalinganagar South","Trichy"
"Pharma Franchisee & Manufacturing by Saksham Pharmaceuticals India Ltd","+ 91  9162595198","4.3","38","Rajiv Nagar","Delhi"
"Dev Lifesciences Pvt Ltd","+ 91  931251095","4.2","193","Vasai West","Mumbai"
"Pharma Franchise By Janus Biotech India Pvt Ltd","+ 91  9134094213","4.4","27","Raipur Kalan","Chandigarh"
"Dr. Mayurs Energy Medicine Clinic","+ 91  9995621653","","0","","Dharamshala"
"Flanca Life Sciences","+ 91  9116556952","4.3","24","Chandigarh","Chandigarh"
"Kolkata Ravi Specialities Pharma PVT.LTD","+ 91  9169430449","5.0","1","","Kolkata"
"Mahajan Medical Agencies","+ 91  018958210512","4.8","31","Dharamsala","Dharamshala"
"Veecube Healthcare Pvt. Ltd.","+ 91  915667464","4.4","17","Panchkula Industrial Area Phase 1","Chandigarh"
"R S M Medicines","+ 91  7076205977","4.2","11","Dari","Dharamshala"
"Himachal Medicine Traders","+ 91  18994723844","","0","Dharamsala","Dharamshala"
"Pharmahopers.com","+ 91  9136581156","4.6","113","Panchkula Sector 11","Chandigarh"
