"Name","Phone","Address"

"Saveen cosmetics","+ 91  9988408585","Shop no : 11, Amritsar - 143001, Tehsilpura"
"Atul Seth","+ 91  9876019929","Shop No 2805, Amritsar - 143001, Katra Dullo"
"Parbhat Jewellers","+ 91  9988855439","51c rani ka bagh modl town, Amritsar - 143001, mear mata ka mandir"
"Make Up Centre","+ 91  7837531408","Shop no. 13, Lawrence road, Amritsar - 143001, Opp Nehru shopping complex"
"Satnam cosmetics","+ 91  7508162368","lawrence road, Lawrence Road, Amritsar - 143001, opp.Nehru shopping complex"
"om gift house","+ 91  9814404052","hathi gate, Hathi Gate, Amritsar - 143001, dav college"
"cosmetica centre","+ 91  183 2564279","below monga clinic, Lawrence road, Lawrence Road, Amritsar - 143001"
"Jain corner","+ 91  9876531697","Shop no B,12, Green avenue market, Amritsar - 143001, Near indian overseas bank"
"modern bazar","+ 91  9814494452","shop no 23A, lawrence road, Lawrence Road, Amritsar - 143001, near nagi diamond jewellers"
"Prince corner","+ 91  9815061516","katra jaimal chowk,, Hall Bazar, Amritsar - 143001, Near Amrit talkies"
"Arora novelty house","+ 91  9915882794","Shop no 26, I.dh market, Amritsar Bus Stand, Amritsar - 143001, Near bus stand"
"Divine Collections","+ 91  9988552082","956, Amritsar - 143001, Near Aggawal Hospital, Lacchmansar Bazar"
"Shiva cosmetics","+ 91  9815455223","Raja house building, Nirankari building FGC road, Amritsar - 143001, Fategarh Churian road"
"Data General Store","+ 91  8427318840","Nawan kot road, Nawankot, Amritsar - 143001, Near Bularia Kothi"
"Arora General store","+ 91  9815318507","Chowk Chabutra, Amritsar - 143001, Soni health club"
"Gurnam General Store","+ 91  8558981095","1, putlighar main bazar, Putligarh, Amritsar - 143002, oppsite durg bhawani bakery"
"Tamanna cosmetics and beauty s...","","Main bazar, Putlighar main bazar, Amritsar - 143001, Cemetry road"
"tilak gernal store","+ 91  9855782086","putlighar cemetry rd, Amritsar - 143001, near pipli sahib gurdwara"
"THE BEAUTY PARADISE","+ 91  9888466142","chownk putlighar GT ROAD, Amritsar - 143001, ad joining raju confectionary"
"Kawaljeet singh general store","+ 91  9888082622","new Market, Putligarh, Amritsar, gt road, Putligarh, Amritsar - 143002, Near pipli sahib gurdware"
"Muskan gift corner","+ 91  9888209808","Main bazar, sunder nagar, Amritsar - 143001, Nr. Durga mata mandir"
"Ashoka general store","+ 91  9888482282","plot no 10, Shakti nagar chowk, Shakti Nagar, Amritsar - 143006, Opp park"
"GURUKIRPA COSMETIC","+ 91  7837319696","shimla market gali no1, Amritsar - 143001, putlighar"
"Misheeta Cosmetics","+ 91  9876985076","shop no. 4, Bhawani nagar, Amritsar - 143001, Near Gurudwara Sahib"
"COLOURS GERNAL STORE","+ 91  7837619671","islamabad, Amritsar - 143001, near thana"
"Sandeep trading co.","+ 91  9855303898","Katra khazana chowk, Amritsar - 143001, Near mahajan hospital"
"U Like Corner","+ 91  9988016987","Shop Number- 69, Golden cloth market, Sultant Wind Gate, Amritsar - 143006, Sultanwind gate"
"Guru kirpa selection point","+ 91  9814318138","Shop no 68, Golden cloth market, SULTANWIND, Amritsar - 143006, Sultanwind gate"
"Jasmine beauty centre","+ 91  9417376369","Shop no.9, Main bazar, bharat nagar, Amritsar - 143001, Nr. Batala rd."
"move and pick departmental store","+ 91  183 2507985","shop no. 87, ranjit avenue,c-block, Amritsar - 143002, near Eldorado Reataurant"
"DAMAN General Store","+ 91  9915034541","Shop no 4, SHRIFPURA, Amritsar - 143002, near Bus Stand"
"Kishan di hatti","+ 91  9876964459","Rani ka bagh, Model Town, Amritsar - 143002, Near mata ka mandir"
"Sukhdev General Store","+ 91  8528871111","Shop Number-3, Khemkaran Road, Bhikhiwind, Amritsar - 143303, Near Main Chowk"
