"Name","Phone","Rating","Votes","Locality","City"
"Pcd Pharma Franchise By Sb Lifesciences","+ 91  9166533108","4.1","51","Panchkula Industrial Area Phase 2","Chandigarh"
"Pcd Pharma Franchise By Boffin Biotech Pvt Ltd","+ 91  8090261718","4.6","13","Near Balaji Battery","Sirmaur"
"Akash Medical Agency","+ 91  9839902686","5.0","1","Palampur","Kangra"
"Ans Pharma","+ 91  9429412843","3.0","2","Palampur","Kangra"
"Imphal - Ravi Specialities Pharma Pvt Ltd","+ 91  9128680444","5.0","1","","Imphal"
"Nanak Enterprises","+ 91  18989216958","","0","Near Sugan Hotal ,Jasur Dist.","Kangra"
"Balaji Medical hall","+ 91  9445195137","2.8","2","Tanda","Kangra"
"Jai Maa Chemist","+ 91  7097410040","","0","Nagrota Bagwan","Kangra"
"Healthkind Labs Pvt Ltd","+ 91  9187136476","4.4","8","","Chandigarh"
"Aditya Pharma","+ 91  948397215","5.0","4","","Kangra"
"Ravi Worldwide Medicines Pvt.Ltd","+ 91  9151584041","5.0","1","Karol Bagh","Delhi"
"Flanca Life Sciences","+ 91  9145587239","4.3","24","Chandigarh","Chandigarh"
"KS LABS","+ 91  9193632136","3.9","7","Near Main Industrial Area Phase2","Chandigarh"
"Herbalife Independent Distributor","+ 91  9485789176","4.7","6","Jawalamukhi","Kangra"
"Vinod Medicos","+ 91  9455140124","","0","Palampur","Kangra"
"Globus Care Pharma","+ 91  18988093074","3.9","4","","Kangra"
"P. P.  Medico Traders","+ 91  8273327208","4.9","6","Gaggal","Kangra"
"Astemax Biotech Pvt. Ltd.","+ 91  9130406399","5.0","12","Karnal Sector 8","Karnal"
"Servocare Lifesciences Pvt. Ltd.","+ 91  9185219782","4.0","63","Panchkula Industrial Area Phase 1","Chandigarh"
"Hpscsc Indane Distributor","+ 91  018991338507","5.0","1","Baijnath","Kangra"
"Rajesh Medicos","+ 91  888308217","","0","","Kangra"
"Herbalife Distributor Or Products For Weight Lose Or Gain","+ 91  8815359654","5.0","2","","Kangra"
"Sara Medical Agency","+ 91  9435468554","","0","Kangra HO","Kangra"
"Idea Distributor Point","+ 91  9863999346","4.2","10","Daulatpur","Kangra"
"Dewan Krishana Distributor","+ 91  7012879297","5.0","6","Nagrota Bagwan","Kangra"
"Kiama Lifesciences","+ 91  9168813692","5.0","6","Panchkula Industrial Area Phase 2","Chandigarh"
"Veecube Healthcare Pvt. Ltd.","+ 91  9123911006","4.4","17","Panchkula Industrial Area Phase 1","Chandigarh"
"Lustre Pharmaceutical PVT LTD","+ 91  018988883570","","0","Palampur","Kangra"
"Nitin Medical Agencies","+ 91  9315687140","5.0","2","Jassur","Kangra"
"angio life healthcare","+ 91  9180523754","4.6","26","Mani Majra","Chandigarh"
"Ravi Specialities Pharma Pvt Ltd","+ 91  043132748813","4.3","73","Ramalinganagar South","Trichy"
"Pharma Pcd Franchise By Arrier Biotech","+ 91  17280703324","4.2","102","Mani Majra","Chandigarh"
"Kolkata Ravi Specialities Pharma PVT.LTD","+ 91  9198735683","5.0","1","","Kolkata"
"V Revive Medicure Pvt. Ltd.","+ 91  9194128762","4.4","28","Chandigarh","Chandigarh"
"Monopoly Pcd Pharma Franchise By Disecure Pharma","+ 91  9139158250","4.8","33","Jabalpur Ho","Jabalpur"
"Anishka Enterprises","+ 91  8645179262","","0","Tanda","Kangra"
"Metamorf Lifesciences","+ 91  9165909785","3.8","9","Mani Majra","Chandigarh"
"Kapoor Pharma Store Cure","+ 91  9156443922","4.8","3","Dhameta","Kangra"
"Cynak Healthcare","+ 91  9176069185","4.7","3","Sonipat Sector 14","Sonepat"
"Katoch medical agency","+ 91  9726066794","","0","Palampur","Kangra"
"Pharmahopers.com","+ 91  9163181924","4.6","113","Panchkula Sector 11","Chandigarh"
"Arth Sales Agency","+ 91  9955230834","3.7","46","Vesu","Surat"
"Divine Pharma","","4.0","1","Jassur","Kangra"
"Events Pharmaceuticals Pvt Ltd","+ 91  9176017079","3.4","8","Ambala City","Ambala"
"Mediboon Pharma Pvt. Ltd.","+ 91  9150966971","4.8","16","Karnal Sector 12","Karnal"
"Drug For Life India Pvt Ltd","+ 91  911942040","4.4","17","Mani Majra","Chandigarh"
"Alpic Biotech LTD","+ 91  9460768727","3.7","12","Makarba","Ahmedabad"
"Pharma Pcd Franchise By Prk Biotech","+ 91  912239064","3.4","11","Mani Majra","Chandigarh"
"Pharma Franchise By Janus Biotech India Pvt Ltd","+ 91  9179521179","4.4","27","Raipur Kalan","Chandigarh"
"Xtra Plus Pharmaceuticals","+ 91  9376435542","","0","Kangra Ho","Kangra"
"Dev Lifesciences Pvt Ltd","+ 91  9375029244","4.2","193","Vasai West","Mumbai"
"Bhushan Medicos Enterprises","+ 91  9885480074","4.3","3","Rakkar","Kangra"
"Uma Medical Store","+ 91  18993905605","","0","Tanda","Kangra"
"Alish Life Savings Impex Pvt Ltd","+ 91  9119180836","3.4","13","Andheri West","Mumbai"
"Pharma Franchisee & Manufacturing by Saksham Pharmaceuticals India Ltd","+ 91  9199644931","4.3","38","Rajiv Nagar","Delhi"
"VUSMS View Srgical & Medical Services","+ 91  9899583139","5.0","4","Jawalamukhi","Kangra"
