"Name","Phone","Rating","Votes","Locality","City"
"Dr. Rajender Sharma (Kumar Hospital)","+ 91  18896783901","3.5","2","Shalimar Nagar","Hoshiarpur"
"Dr. Keshav Sood","+ 91  9398461609","4.0","3","Hoshiarpur Ho","Hoshiarpur"
"Dr. Jagmohan Singh Dardi (Saini Hospital)","","","0","Hoshiarpur Ho","Hoshiarpur"
"Dr. Lal PathLabs","+ 91  018847197252","3.5","8","Kamalpur","Hoshiarpur"
"Saini Hospital & Test Tube Baby Centre","+ 91  9135188941","4.8","14","Model Town Hoshiarpur","Hoshiarpur"
"Btc Architect & Vastu Experts","+ 91  8850753295","5.0","48","Garhshanker","Hoshiarpur"
"1) Neeraj Beauty Clinic & HOBBY Institute 2) Neeraj Beauty Clinic","+ 91  9111112312","4.2","49","HOshiarpur HO","Hoshiarpur"
"Dr. Bhupesh Manocha","","4.0","2","Hoshiarpur Ho","Hoshiarpur"
"Dr. Keshav Sood","+ 91  9371174035","4.0","3","Hoshiarpur Ho","Hoshiarpur"
"Sehgal Auto Honda 2 Wheelers","+ 91  18896629457","4.8","5","Mukerian","Hoshiarpur"
"Dr. Rajat Gupta(Saini Hospital)","+ 91  18878465355","","0","Hoshiarpur Ho","Hoshiarpur"
"Dr. Keshav Sood","+ 91  9311227913","4.0","3","Hoshiarpur Ho","Hoshiarpur"
"Dr. Rajender Sharma (Kumar Hospital)","+ 91  18852897634","3.5","2","Shalimar Nagar","Hoshiarpur"
"Dr. Rajender Sharma (Kumar Hospital)","+ 91  18896226561","3.5","2","Shalimar Nagar","Hoshiarpur"
"Dr. Bhupesh Manocha","","4.0","2","Hoshiarpur Ho","Hoshiarpur"
"5 Star Sweets And Cafe","+ 91  9493046768","4.0","13","Bhangala","Hoshiarpur"
"Dr. Keshav Sood","+ 91  9315771155","4.0","3","Hoshiarpur Ho","Hoshiarpur"
"Dr. Jagmohan Singh Dardi (Saini Hospital)","","","0","Hoshiarpur Ho","Hoshiarpur"
"Sood Medicines Traders","+ 91  18825943505","","0","Hoshiarpur Ho","Hoshiarpur"
"Dr. Kamal","+ 91  18837555206","","0","Hoshiarpur Ho","Hoshiarpur"
"Sood Medicine Traders","+ 91  18841558753","4.8","3","Hoshiarpur Ho","Hoshiarpur"
"Dr. Jagmohan Singh Dardi (Saini Hospital)","","","0","Hoshiarpur Ho","Hoshiarpur"
"Dr. Bhupesh Manocha","","4.0","2","Hoshiarpur Ho","Hoshiarpur"
"Dr. Rajat Gupta(Saini Hospital)","+ 91  18888145750","","0","Hoshiarpur Ho","Hoshiarpur"
"Dr. Bhupesh Manocha","","4.0","2","Hoshiarpur Ho","Hoshiarpur"
"Btc Architect & Vastu Experts","+ 91  889269911","5.0","48","Garhshanker","Hoshiarpur"
"Dr. Rajat Gupta(Saini Hospital)","+ 91  18833458390","","0","Hoshiarpur Ho","Hoshiarpur"
"Btc Architect & Vastu Experts","+ 91  887509037","5.0","48","Garhshanker","Hoshiarpur"
"Dr. Lal PathLabs","+ 91  018841286057","3.5","8","Kamalpur","Hoshiarpur"
"Dr. Bhupesh Manocha","","4.0","2","Hoshiarpur Ho","Hoshiarpur"
"Saini Hospital & Test Tube Baby Centre","+ 91  9150164957","4.8","14","Model Town Hoshiarpur","Hoshiarpur"
"Dr. Lal PathLabs","+ 91  01885797086","3.5","8","Kamalpur","Hoshiarpur"
"Dr. Kamal","+ 91  18851992840","","0","Hoshiarpur Ho","Hoshiarpur"
"Saini Hospital & Test Tube Baby Centre","+ 91  9166136467","4.8","14","Model Town Hoshiarpur","Hoshiarpur"
"Dr. Lal PathLabs","+ 91  018843347759","3.5","8","Kamalpur","Hoshiarpur"
"Dr. Jagmohan Singh Dardi (Saini Hospital)","","","0","Hoshiarpur Ho","Hoshiarpur"
"Dr. Kamal","+ 91  18888184119","","0","Hoshiarpur Ho","Hoshiarpur"
"Dr. Rajat Gupta(Saini Hospital)","+ 91  18832555326","","0","Hoshiarpur Ho","Hoshiarpur"
"Dr. Rajender Sharma (Kumar Hospital)","+ 91  18880198882","3.5","2","Shalimar Nagar","Hoshiarpur"
"Sec 3 Lucky Chaat","+ 91  9897725252","3.9","115","","Hoshiarpur"
"Saini Hospital & Test Tube Baby Centre","+ 91  9124480802","4.8","14","Model Town Hoshiarpur","Hoshiarpur"
"Dr. Rajat Gupta(Saini Hospital)","+ 91  18871367781","","0","Hoshiarpur Ho","Hoshiarpur"
"Dr. Kamal","+ 91  18880286","","0","Hoshiarpur Ho","Hoshiarpur"
"Dr. Jagmohan Singh Dardi (Saini Hospital)","","","0","Hoshiarpur Ho","Hoshiarpur"
"Dr. Lal PathLabs","+ 91  018828914412","3.5","8","Kamalpur","Hoshiarpur"
"Dr. Kamal","+ 91  18880512578","","0","Hoshiarpur Ho","Hoshiarpur"
"Saini Hospital & Test Tube Baby Centre","+ 91  9193673935","4.8","14","Model Town Hoshiarpur","Hoshiarpur"
"Dr. Rajender Sharma (Kumar Hospital)","+ 91  18827145540","3.5","2","Shalimar Nagar","Hoshiarpur"
"Dr. Keshav Sood","+ 91  9339317983","4.0","3","Hoshiarpur Ho","Hoshiarpur"
"HIS Physiotherapy Clinic","+ 91  18830957367","4.1","17","HOshiarpur HO","Hoshiarpur"
