"Name","Phone","Rating","Votes","Locality","City"
"Alish Life Savings Impex Pvt Ltd","+ 91  9180018270","3.4","13","Andheri West","Mumbai"
"Alpic Biotech LTD","+ 91  9421358129","3.7","12","Makarba","Ahmedabad"
"Bio Search Organics","+ 91  9190023023","4.5","51","Ferozepur Road","Ludhiana"
"Pharmahopers.com","+ 91  9183350197","4.6","113","Panchkula Sector 11","Chandigarh"
"Pharma Pcd Franchise By Arrier Biotech","+ 91  17213481579","4.2","102","Mani Majra","Chandigarh"
"Ravi Specialities Pharma Pvt Ltd","+ 91  043145229934","4.3","73","Ramalinganagar South","Trichy"
"Servocare Lifesciences Pvt. Ltd.","+ 91  9159555936","4.0","63","Panchkula Industrial Area Phase 1","Chandigarh"
"Pharma Franchisee & Manufacturing by Saksham Pharmaceuticals India Ltd","+ 91  9187528366","4.3","38","Rajiv Nagar","Delhi"
"Chaudhary Medical Agency","+ 91  19084147984","4.9","9","Dhalpur","Kullu"
"Pcd Pharma Franchise By Sb Lifesciences","+ 91  9146586217","4.1","51","Panchkula Industrial Area Phase 2","Chandigarh"
