"Name","Phone","Rating","Votes","Locality","City"
"Manali Properties Dealer.com","+ 91  7096770809","4.8","16","Mall Road","Kullu"
"Page 3 Lodge","+ 91  19098087475","3.1","26","Manali","Kullu"
"Harmony Cottage-4 Bhk Cottage","","","0","Near Urvashi Retreat","Kullu"
"Quechua Dealer Kullu","+ 91  98500154","5.0","1","Dhalpur","Kullu"
"the wood word 2","+ 91  7547961477","1.0","1","Kasol","Kullu"
"Flight 2 Travel.com","+ 91  9435373252","5.0","1","Mall Road","Kullu"
"Tere Naam 2 Hair Saloon","+ 91  8829354426","5.0","1","Mall Road","Kullu"
"Page 3 Lodge","+ 91  19096925006","3.5","2","Manali Kullu","Kullu"
"Chawla Food Grain Dealers","+ 91  019093694108","5.0","5","Akhara Bazar","Kullu"
"Big Brothers Property Dealers","+ 91  9780949283","4.7","3","Dhalpur","Kullu"
"Step 2 Himalayas","+ 91  916749189","4.8","29","Manali Kullu","Kullu"
"Route 2 Himalaya","","","0","Bhuntar","Kullu"
"Verma Paint Dealer Kullu Manali","+ 91  7069885658","4.5","1","Manali Kullu","Kullu"
"Head 2 Toe Massage Service","+ 91  9027626139","3.7","26","Manali Kullu","Kullu"
"The Sleven Vista Cottage-4 Bhk Cottage","","","0","Manali","Kullu"
"Ramneek Property Dealer Nd Consultant","+ 91  7035918294","4.5","2","Kullu HO","Kullu"
"2-Bedroom Mountain-View Cottage","+ 91  8840562768","","0","Near Hidimba Temple","Kullu"
"Hallan 2","+ 91  7010699016","4.7","12","","Kullu"
"Moni Car Dealer","+ 91  9775596051","4.0","1","Manali Kullu","Kullu"
"Xiaomi Mi Dealer","+ 91  9419031860","4.3","18","Akhara Bazar","Kullu"
"Anu Motor Works & Enfield Dealer","+ 91  9487658620","0.5","1","Manali Kullu","Kullu"
"Tour 2 Himayala","+ 91  19039196446","","0","Kullu HO","Kullu"
"Munish Chauhan Contractor & Premium Dealer","+ 91  19038682799","5.0","1","BAJAURA","Kullu"
"OYO 29605 Woodward 2","+ 91  9124980645","4.1","103","Kasol","Kullu"
