"Name","Phone","Rating","Votes","Locality","City"
"Sohan Dairy","+ 91  9870303283","","0","Jalandhar City","Jalandhar"
"Amul ice creame","+ 91  9664010655","","0","New Model House","Jalandhar"
"S R Trading Company","+ 91  18187087593","3.5","1","Jalandhar City","Jalandhar"
"Shri Mohan Milk Bar","+ 91  7653155979","5.0","4","Jalandhar City","Jalandhar"
"Royal Dairy","+ 91  9872200101","","0","Opposite Baba Balak Nath Mandir","Jalandhar"
"Sahil Narang Dairy Products","+ 91  9853931860","2.5","2","Jalandhar City","Jalandhar"
"R M Agency","+ 91  18149667006","5.0","1","Charanjitpura","Jalandhar"
