"Name","Phone","Address"

"Hind Automobiles","+ 91  1882 223080","Jalandhar Road, Hoshiarpur - 146001, Near P.N.B Bank"
"Major Dhami Tyres","+ 91  1882 256016","Ward No 22, Piplanwala , jaladhar road, Hoshiarpur - 146001, Near Alka Service Station Jalandhar Road Hoshiarpur"
"Ashoka Tractors","+ 91  1882 223118","Phagwara Road, Hoshiarpur - 146001, near bank of maharastra"
"Vee Aar Enterprises","+ 91  1882 233577","Prem Garh Road, Tempo Wali Gali, Hoshiarpur - 146001, near bus stand"
"Thukral Tyres","+ 91  9888839904","Haryana Road, Hoshiarpur - 146001"
"Khundi Tyre House","+ 91  1882 223250","Afgan Road, Hoshiarpur - 146001, Opp. Sood Flour Mills"
"H M Corporation","+ 91  9814061021","Hoshiarpur - 146001"
"Agro Eng Services","+ 91  9876012335","Hoshiarpur - 146001"
"Arora Tyre World","+ 91  9888435641","G T Road, Darapuram By Pass Tand, Urmar, Hoshiarpur - 144204"
"Mukerian Traders","+ 91  9814444860","Mukerian, Hoshiarpur - 144211, Mata Rani Chowk, Near Talwara By Pass"
"GEE ESS TYRES","+ 91  1883 244195","NEAR MUKERIAN GAS AGENCY, KHICHIAN ROAD, Mukerian, Hoshiarpur - 144211, OPP. TAAK MARRIAGE HALL"
"T S Tyres","+ 91  9417442002","Hoshiarpur - 144002, Shastri Market"
