"Name","Phone","Rating","Votes","Locality","City"
"Flanca Life Sciences","+ 91  9115991797","4.3","24","Chandigarh","Chandigarh"
"Alish Life Savings Impex Pvt Ltd","+ 91  9152125345","3.4","13","Andheri West","Mumbai"
"Veecube Healthcare Pvt. Ltd.","+ 91  9164455710","4.4","17","Panchkula Industrial Area Phase 1","Chandigarh"
"Sukh Darshan Pharmacy Pvt. Ltd.","+ 91  9191635980","4.3","14","Rai","Sonepat"
"Pharma Pcd Franchise By Arrier Biotech","+ 91  17273597653","4.2","102","Mani Majra","Chandigarh"
"Imphal - Ravi Specialities Pharma Pvt Ltd","+ 91  9167873119","5.0","1","","Imphal"
"Pcd Pharma Franchise By Sb Lifesciences","+ 91  9117770227","4.1","51","Panchkula Industrial Area Phase 2","Chandigarh"
"Arth Sales Agency","+ 91  9967638107","3.7","46","Vesu","Surat"
"Kolkata Ravi Specialities Pharma PVT.LTD","+ 91  9119174995","5.0","1","","Kolkata"
"Bio Search Organics","+ 91  9154217510","4.5","51","Ferozepur Road","Ludhiana"
"Swami Enterprises","+ 91  9186084391","4.5","9","Jammu Ho","Jammu"
"Pharmahopers.com","+ 91  9178864027","4.6","113","Panchkula Sector 11","Chandigarh"
"Ganraj Medico","+ 91  9185364924","4.6","17","Vazirabad","Nanded"
"Pharma Franchise By Janus Biotech India Pvt Ltd","+ 91  9134073211","4.4","27","Raipur Kalan","Chandigarh"
"Pharma Franchisee & Manufacturing by Saksham Pharmaceuticals India Ltd","+ 91  9137682350","4.3","38","Rajiv Nagar","Delhi"
"Ravi Specialities Pharma Pvt Ltd","+ 91  043137652655","4.3","73","Ramalinganagar South","Trichy"
"Ravi Worldwide Medicines Pvt.Ltd","+ 91  9194083329","5.0","1","Karol Bagh","Delhi"
"Dev Lifesciences Pvt Ltd","+ 91  9350391800","4.2","193","Vasai West","Mumbai"
