"Name","Phone","Rating","Votes","Locality","City"
"Servocare Lifesciences Pvt. Ltd.","+ 91  9117211217","4.0","63","Panchkula Industrial Area Phase 1","Chandigarh"
"Ravi Specialities Pharma Pvt Ltd","+ 91  043156938940","4.3","73","Ramalinganagar South","Trichy"
"Bio Search Organics","+ 91  9180819052","4.5","51","Ferozepur Road","Ludhiana"
"Ravi Worldwide Medicines Pvt.Ltd","+ 91  9157344197","5.0","1","Karol Bagh","Delhi"
"Pharmahopers.com","+ 91  9172718360","4.6","113","Panchkula Sector 11","Chandigarh"
"Shiva Medicos","+ 91  7014041964","","0","Vaishno Devi","Katra"
"Dev Lifesciences Pvt Ltd","+ 91  9378271354","4.2","193","Vasai West","Mumbai"
"Arth Sales Agency","+ 91  9918439467","3.7","46","Vesu","Surat"
"Pharma Franchisee & Manufacturing by Saksham Pharmaceuticals India Ltd","+ 91  9136931176","4.3","38","Rajiv Nagar","Delhi"
"Flanca Life Sciences","+ 91  9187093531","4.3","24","Chandigarh","Chandigarh"
"Ganraj Medico","+ 91  9115275020","4.6","17","Vazirabad","Nanded"
"Alish Life Savings Impex Pvt Ltd","+ 91  9185674627","3.4","13","Andheri West","Mumbai"
"Veecube Healthcare Pvt. Ltd.","+ 91  9145089610","4.4","17","Panchkula Industrial Area Phase 1","Chandigarh"
"Pcd Pharma Franchise By Sb Lifesciences","+ 91  9167477371","4.1","51","Panchkula Industrial Area Phase 2","Chandigarh"
"Alpic Biotech LTD","+ 91  9453339371","3.7","12","Makarba","Ahmedabad"
"Kolkata Ravi Specialities Pharma PVT.LTD","+ 91  9145401605","5.0","1","","Kolkata"
"Pharma Franchise By Janus Biotech India Pvt Ltd","+ 91  9169779917","4.4","27","Raipur Kalan","Chandigarh"
"Swami Enterprises","+ 91  9190089328","4.5","9","Jammu Ho","Jammu"
"Imphal - Ravi Specialities Pharma Pvt Ltd","+ 91  9125929042","5.0","1","","Imphal"
"Pharma Pcd Franchise By Arrier Biotech","+ 91  17281189712","4.2","102","Mani Majra","Chandigarh"
