"Name","Phone","Rating","Votes","Locality","City"
"Guru Amar Dass Flour Mills","59370608","","0","","Ludhiana"
"Guru Amar Dass Machine Tools & Forginge Works","+ 91  9821064799","","0","","Ludhiana"
"Guru Ajad Ji","+ 91  9829846434","","0","Jagraon","Ludhiana"
"Guru Angad Iron Store","+ 91  16193787204","4.2","9","Gill Road","Ludhiana"
"Guru AIR Conditioner & Refrigerator","+ 91  9145375823","4.0","5","Ghumar Mandi","Ludhiana"
"Guru Angad Dev Park","+ 91  9850047947","3.7","316","Cheema Chowk","Ludhiana"
"Guru Air Conditioner & Refrigeration","+ 91  9870557990","","0","Jamalpur Awana","Ludhiana"
"Guru Amrit Clinic","+ 91  9868085433","","0","Hargobind Nagar","Ludhiana"
"Guru Angad Dev Park","+ 91  9851388328","3.7","316","Cheema Chowk","Ludhiana"
"Guru Nanak Super Dairy","+ 91  9976686033","4.5","7","","Ludhiana"
"Guru Kripa Dairy","+ 91  9928878410","","0","Kochar Market Chowk","Ludhiana"
"Guru Nanak Milk Dairy","+ 91  9614683632","4.4","7","Giaspura","Ludhiana"
"Guru Dairy","+ 91  9893784312","","0","Ludhiana Ho","Ludhiana"
"Guru Nanak Dairy - Bheem Dairy","+ 91  9889192284","5.0","2","Rahon Road","Ludhiana"
"Guru Nanak Dairy","+ 91  9846902219","0.5","1","Pakhowal Road","Ludhiana"
"Guru AIR Conditioner & Refrigerator","+ 91  9177080992","4.0","5","Ghumar Mandi","Ludhiana"
"Guru Amar Dass Flour Mills","77965458","","0","","Ludhiana"
"Guru Kirpa Dairy And Confectionery","+ 91  9996887406","5.0","1","Dugri Pind","Ludhiana"
"Guru Amrit Clinic","+ 91  9853681920","","0","Hargobind Nagar","Ludhiana"
"Guru Amar Dass Machine Tools & Forginge Works","+ 91  9883757566","","0","","Ludhiana"
"Guru Amardass Exports","+ 91  98693109","","0","Dugri","Ludhiana"
"Guru Akash Ji","+ 91  9937769749","","0","Ludhiana Ho","Ludhiana"
"Guru Ajad Ji","+ 91  983776323","","0","Jagraon","Ludhiana"
"Guru Angad Iron Store","+ 91  16111866106","4.2","9","Gill Road","Ludhiana"
"Guru Air Conditioner & Refrigeration","+ 91  9824821181","","0","Jamalpur Awana","Ludhiana"
"Guru Akash Ji","+ 91  996158797","","0","Ludhiana Ho","Ludhiana"
"Guru Nanak Dairy","+ 91  16165407430","4.0","1","Dugri Phase 1","Ludhiana"
"Guru Amardass Exports","+ 91  9897649324","","0","Dugri","Ludhiana"
"Guru Kirpa Dairy","+ 91  985226867","4.9","5","Bharat Nagar","Ludhiana"
"Guru Ramdas Dairy Farm","","","0","Near Gurudwara","Ludhiana"
