"Name","Phone","Address"

"Arora cement store","+ 91  9915917197",""
"Iaia","+ 91  9855767777",""
"Guru Nanak Cement Store","+ 91  183 2440723",""
"ACC Ltd","+ 91  183 657776","Sco- 44, 3rd Floor, Nagpal Tower 2, District Shopping Centre, Ranjit Avenue, Amritsar - 143001"
"GS & sonS","+ 91  8558991708",""
"Gulati Sons","+ 91  9817405154",""
"Sumeru Tradelink Private Li...","+ 91  79 33016584",""
"Birla Corp","+ 91  183 2274761","Batala Rd, Khanna Nagar, Amritsar - 143001"
"exports First Pakistani Cement...","+ 91  183 5008943","29, shiv Nagar, batala road, Amritsar - 143001, opp petrol pump"
