"Name","Phone","Rating","Votes","Locality","City"
"Noon 2 Nite","+ 91  7269610858","3.5","119","Gandhinagar Jammu","Jammu"
"Avtar Milk Product & Dairy","+ 91  9632562683","5.0","3","Gol Gujral","Jammu"
"Mannat Products","+ 91  9483325356","5.0","99","Bari Brahmana","Jammu"
"Classic Pet Products","+ 91  19118812362","4.1","109","Near Garden Estate","Jammu"
"Classic Pet Products","+ 91  19134924821","4.1","109","Near Garden Estate","Jammu"
"Dairy India Ind","+ 91  019174143958","","0","Jammu & Kashmir","Jammu"
"Studio Page 3 Salon","+ 91  9029294142","4.6","10","Above Pizza Hut","Opposite Bahu Plaza"
"Bakshi true products","+ 91  7017176120","3.5","63","Rehari","Jammu"
"Avtar Milk Product & Dairy","+ 91  9643771077","5.0","3","Gol Gujral","Jammu"
"Dairy India Industries","+ 91  19180412586","","0","Gandhinagar Jammu","Jammu"
"Dairy India Ind","","","0","Jammu & Kashmir","Jammu"
"Avtar Milk Product & Dairy","+ 91  9618871006","5.0","3","Gol Gujral","Jammu"
"Bhushan Radio 2","+ 91  9678448206","4.3","107","Gandhinagar Jammu","Jammu"
"Mannat Products","+ 91  9477800820","5.0","99","Bari Brahmana","Jammu"
"Dairy India Ind","+ 91  019170013165","","0","Jammu & Kashmir","Jammu"
"Dairy India Ind","+ 91  019151696788","","0","Jammu & Kashmir","Jammu"
"Forever Living Products","+ 91  9395489751","4.0","87","Trikuta Nagar","Jammu"
"Shiva Dairy Products","+ 91  9450866685","4.0","1","Digiana","Jammu"
"Avtar Milk Product & Dairy","+ 91  9642306687","5.0","3","Gol Gujral","Jammu"
"KLT Enterprises","+ 91  9186223792","4.5","22","Bakshi Nagar","Jammu"
"Forever Living Products","+ 91  931959107","4.0","87","Trikuta Nagar","Jammu"
"Shiva Dairy Products","+ 91  9424450712","4.0","1","Digiana","Jammu"
"Mudit Dairy Product","+ 91  846835049","","0","Paloura","Jammu"
"Chawlas 2 Jammu","+ 91  9762662605","3.6","132","Gandhinagar Jammu","Jammu"
"Mannat Products","+ 91  9451056968","5.0","99","Bari Brahmana","Jammu"
"Dairy India Industries","+ 91  19154129637","","0","Gandhinagar Jammu","Jammu"
"Mudit Dairy Product","+ 91  8419114545","","0","Paloura","Jammu"
"Shiva Dairy Products","+ 91  9482042889","4.0","1","Digiana","Jammu"
"Forever Living Products","+ 91  9368139171","4.0","87","Trikuta Nagar","Jammu"
"Mudit Dairy Product","+ 91  8461918345","","0","Paloura","Jammu"
"Dairy India Ind","+ 91  0191674321","","0","Jammu & Kashmir","Jammu"
"Dairy India Industries","+ 91  19123704070","","0","Gandhinagar Jammu","Jammu"
"Shiva Dairy Products","+ 91  9454558193","4.0","1","Digiana","Jammu"
"Classic Pet Products","+ 91  19190380376","4.1","109","Near Garden Estate","Jammu"
"Shiva Dairy Products","+ 91  9450766112","4.0","1","Digiana","Jammu"
"Amul Frozen Spoon","+ 91  9741405640","3.0","1","Talab Tillo","Jammu"
"Bakshi true products","+ 91  7092128785","3.5","63","Rehari","Jammu"
"Dairy India Industries","+ 91  19182055843","","0","Gandhinagar Jammu","Jammu"
"Classic Pet Products","+ 91  19194658854","4.1","109","Near Garden Estate","Jammu"
"Mudit Dairy Product","+ 91  8445227082","","0","Paloura","Jammu"
"Avtar Milk Product & Dairy","+ 91  966289060","5.0","3","Gol Gujral","Jammu"
"Dairy India Industries","+ 91  19145475522","","0","Gandhinagar Jammu","Jammu"
"Dairy India Ind","+ 91  019186498997","","0","Jammu & Kashmir","Jammu"
"Mannat Products","+ 91  9447791705","5.0","99","Bari Brahmana","Jammu"
"Forever Living Products","+ 91  9367688394","4.0","87","Trikuta Nagar","Jammu"
"Dairy King Ice Cream","+ 91  9445648739","","0","Paloura","Jammu"
"Mudit Dairy Product","+ 91  8410040617","","0","Paloura","Jammu"
"Spicy Grillz 2","+ 91  9943862627","3.1","143","Channi Himmat","Jammu"
"Bakshi true products","+ 91  7071983335","3.5","63","Rehari","Jammu"
"Shanker Agencies-Amul Preffered Outlet","+ 91  9556220976","4.3","82","Ramgarh","Jammu"
