"Name","Phone","Rating","Votes","Locality","City"
"Bolly Dairy","+ 91  8482691377","","0","Katra HO","Katra"
"Bolly Dairy","+ 91  8454026322","","0","Katra HO","Katra"
"Bolly Dairy","+ 91  8449597761","","0","Katra HO","Katra"
"Raj Dairy (Closed Down)","","","0","","Katra"
"Bolly Dairy","+ 91  8472897010","","0","Katra HO","Katra"
"Bolly Dairy","+ 91  8450129453","","0","Katra HO","Katra"
"Raj Dairy (Closed Down)","","","0","","Katra"
"Raj Dairy (Closed Down)","","","0","","Katra"
"Kumar Chai dealer","+ 91  9030920930","","0","Katra HO","Katra"
"Raj Dairy (Closed Down)","","","0","","Katra"
"Raj Dairy (Closed Down)","","","0","","Katra"
