"Name","Phone","Rating","Votes","Locality","City"
"Arora Hospital & Maternity Home","+ 91  9897362571","4.8","21","Phagwara Sharki","Phagwara"
"Pg Home Phagwara Near Lpu","+ 91  9395489093","3.1","110","Guru Hargobind Nagar","Phagwara"
"Home Makers","+ 91  9136770291","5.0","4","Phagwara HO","Phagwara"
"Pizza Home","+ 91  8011085953","3.5","8","Guru Hargobind Nagar","Phagwara"
"Dr. Rohit Dental Home","+ 91  18243353595","5.0","12","Guru Hargobind Nagar","Phagwara"
"Roopra Plywood Home","+ 91  9197406459","4.9","13","Phagwara HO","Phagwara"
"Home Furnishing Studio","+ 91  9888109291","4.8","5","Near Lamba Medical Hall","Phagwara"
"Dr. Rohit Dental Home","+ 91  18244171257","5.0","12","Guru Hargobind Nagar","Phagwara"
"Roopra Plywood Home","+ 91  18216309586","4.9","13","Phagwara Ho","Phagwara"
"Arora Hospital & Maternity Home","+ 91  9886275084","4.8","21","Phagwara Sharki","Phagwara"
"Roopra Plywood Home","+ 91  9142795364","4.9","13","Phagwara HO","Phagwara"
"Gee BEE Hospital & Maternity Home","+ 91  18270721132","4.0","31","","Phagwara"
"Gee BEE Hospital & Maternity Home","+ 91  18241566834","4.0","31","","Phagwara"
"Arora Hospital & Maternity Home","+ 91  9871587876","4.8","21","Phagwara Sharki","Phagwara"
"Home Makers","+ 91  9130751653","5.0","4","Phagwara HO","Phagwara"
"Dr. Rohit Dental Home","+ 91  18293807122","5.0","12","Guru Hargobind Nagar","Phagwara"
"Arora Hospital & Maternity Home","+ 91  9812911690","4.8","21","Phagwara Sharki","Phagwara"
"Roopra Plywood Home","+ 91  9117081437","4.9","13","Phagwara HO","Phagwara"
"Pg Home Phagwara Near Lpu","+ 91  9345642606","3.1","110","Guru Hargobind Nagar","Phagwara"
"Home Makers","+ 91  9152413474","5.0","4","Phagwara HO","Phagwara"
"Roopra Plywood Home","+ 91  18234112854","4.9","13","Phagwara Ho","Phagwara"
"Roopra Plywood Home","+ 91  18233696839","4.9","13","Phagwara Ho","Phagwara"
"Pizza Home","+ 91  8035128458","3.5","8","Guru Hargobind Nagar","Phagwara"
"Home Furnishing Studio","+ 91  9845583038","4.8","5","Near Lamba Medical Hall","Phagwara"
"Home Furnishing Studio","+ 91  9824704254","4.8","5","Near Lamba Medical Hall","Phagwara"
"Gee BEE Hospital & Maternity Home","+ 91  18280188592","4.0","31","","Phagwara"
"Pg Home Phagwara Near Lpu","+ 91  9399200804","3.1","110","Guru Hargobind Nagar","Phagwara"
"Roopra Plywood Home","+ 91  1828588575","4.9","13","Phagwara Ho","Phagwara"
"Gee BEE Hospital & Maternity Home","+ 91  18227426652","4.0","31","","Phagwara"
"Dr. Rohit Dental Home","+ 91  18265760417","5.0","12","Guru Hargobind Nagar","Phagwara"
"Dr. Rohit Dental Home","+ 91  18249926772","5.0","12","Guru Hargobind Nagar","Phagwara"
"Home Makers","+ 91  9118341389","5.0","4","Phagwara HO","Phagwara"
"Jasvir Hospital Maternity Home and IVF Centre","+ 91  9879457377","4.3","17","Guru Hargobind Nagar","Phagwara"
"Home Makers","+ 91  9124378600","5.0","4","Phagwara HO","Phagwara"
"Jasvir Hospital Maternity Home and IVF Centre","+ 91  9872704849","4.3","17","Guru Hargobind Nagar","Phagwara"
"Roopra Plywood Home","+ 91  9160780026","4.9","13","Phagwara HO","Phagwara"
"Roopra Plywood Home","+ 91  18240749714","4.9","13","Phagwara Ho","Phagwara"
"Pg Home Phagwara Near Lpu","+ 91  9335610295","3.1","110","Guru Hargobind Nagar","Phagwara"
"Jasvir Hospital Maternity Home and IVF Centre","+ 91  9860887652","4.3","17","Guru Hargobind Nagar","Phagwara"
"Jasvir Hospital Maternity Home and IVF Centre","+ 91  9857479287","4.3","17","Guru Hargobind Nagar","Phagwara"
"Arora Hospital & Maternity Home","+ 91  9851984213","4.8","21","Phagwara Sharki","Phagwara"
"Pg Home Phagwara Near Lpu","+ 91  9314533295","3.1","110","Guru Hargobind Nagar","Phagwara"
"Gee BEE Hospital & Maternity Home","+ 91  18280030572","4.0","31","","Phagwara"
"Pizza Home","+ 91  8036553290","3.5","8","Guru Hargobind Nagar","Phagwara"
"Roopra Plywood Home","+ 91  9175850738","4.9","13","Phagwara HO","Phagwara"
"Jasvir Hospital Maternity Home and IVF Centre","+ 91  9880774535","4.3","17","Guru Hargobind Nagar","Phagwara"
"Home Furnishing Studio","+ 91  987183950","4.8","5","Near Lamba Medical Hall","Phagwara"
"Home Furnishing Studio","+ 91  9862865342","4.8","5","Near Lamba Medical Hall","Phagwara"
"Pizza Home","+ 91  8052729388","3.5","8","Guru Hargobind Nagar","Phagwara"
"Pizza Home","+ 91  8057751333","3.5","8","Guru Hargobind Nagar","Phagwara"
