"Name","Phone","Rating","Votes","Locality","City"
"Dr. Krishan Paul Bagga","+ 91  18255613448","","0","Phagwara Ho","Phagwara"
"Sanchit Medicines Trader","+ 91  9833906737","","0","Phagwara Ho","Phagwara"
"Dhingra Medicine Centre","+ 91  18218907096","","0","Banga Road","Phagwara"
"Soni Medicine","+ 91  18288567096","","0","Phagwara Ho","Phagwara"
"Ravindera Medicine","+ 91  7580952836","5.0","2","Daddal Mohalla","Phagwara"
"Pcd Pharma Franchise By Sb Lifesciences","+ 91  9127269357","4.1","51","Panchkula Industrial Area Phase 2","Chandigarh"
"Ravindera Medicine","+ 91  7554852877","5.0","2","Daddal Mohalla","Phagwara"
"Pharma Franchisee & Manufacturing by Saksham Pharmaceuticals India Ltd","+ 91  9174588548","4.3","38","Rajiv Nagar","Delhi"
"Sanchit Medicines Trader","+ 91  9869877829","","0","Phagwara Ho","Phagwara"
"Dhingra Medicine Centre","+ 91  18231710881","","0","Banga Road","Phagwara"
"Bansal Medicines","+ 91  9844826059","3.0","2","Guru Hargobind Nagar","Phagwara"
"Safri Medicine Traders","+ 91  018244146318","","0","Phagwara HO","Phagwara"
"Dr. Maninder","+ 91  18223547286","","0","Phagwara Ho","Phagwara"
"Punjab Medicine Traders","+ 91  18221844123","","0","Phagwara Ho","Phagwara"
"Sanchit Medicines Trader","+ 91  9877429385","","0","Phagwara Ho","Phagwara"
"Sohal Medicines","+ 91  1823627015","","0","Phagwara Ho","Phagwara"
"Pharma Pcd Franchise By Arrier Biotech","+ 91  17246349487","4.2","102","Mani Majra","Chandigarh"
"Oberoi Medicine Centre","+ 91  8582194987","5.0","6","Near Dr. Raman Aggarwal Eye and Chest Hospital","Phagwara"
"Dr. Kuldip Singh","+ 91  18257294058","","0","Phagwara Ho","Phagwara"
"Pharmahopers.com","+ 91  9169392395","4.6","113","Panchkula Sector 11","Chandigarh"
"Sasti Medicine","+ 91  9841377001","4.6","4","Banga Road","Phagwara"
"Soni Medicine","+ 91  1822858382","","0","Phagwara Ho","Phagwara"
"Dr. Kanwarjit Singh","+ 91  1824141029","","0","Phagwara Ho","Phagwara"
"Oberoi Medicine Centre","+ 91  8580478003","5.0","6","Near Dr. Raman Aggarwal Eye and Chest Hospital","Phagwara"
"Safri Medicine Traders","+ 91  018217892986","","0","Phagwara HO","Phagwara"
"Oberoi Medicine Centre","+ 91  8578582292","5.0","6","Near Dr. Raman Aggarwal Eye and Chest Hospital","Phagwara"
"Soni Medicine","+ 91  18241092373","","0","Phagwara Ho","Phagwara"
"Dr. Manohar Verma","+ 91  18253291194","","0","Phagwara Ho","Phagwara"
"Dr. K K Verma","+ 91  18215889385","","0","Phagwara Ho","Phagwara"
"Dr. Manohar Lal Bansal","+ 91  18238998986","","0","Phagwara Ho","Phagwara"
"Dr. Jpginder Jogi","+ 91  18299351379","","0","Phagwara Ho","Phagwara"
"Dhingra Medicine Centre","+ 91  18233345770","","0","Banga Road","Phagwara"
"Bansal Medicines","+ 91  9836792224","3.0","2","Guru Hargobind Nagar","Phagwara"
"Dhingra Medicine Centre","+ 91  18290641862","","0","Banga Road","Phagwara"
"Safri Medicine Traders","+ 91  018216636379","","0","Phagwara HO","Phagwara"
"Bansal Departmental And Medical  Store","+ 91  9897689243","5.0","2","Phagwara HO","Phagwara"
"Sohal Medicines","+ 91  18297885730","","0","Phagwara Ho","Phagwara"
"Sasti Medicine","+ 91  9868162538","4.6","4","Banga Road","Phagwara"
"Dhingra Medicine Centre","+ 91  18247854685","","0","Banga Road","Phagwara"
"Bansal Medicines","+ 91  9858540299","3.0","2","Guru Hargobind Nagar","Phagwara"
"Ravindera Medicine","+ 91  7528746022","5.0","2","Daddal Mohalla","Phagwara"
"Sasti Medicine","+ 91  98465797","4.6","4","Banga Road","Phagwara"
"Ravindera Medicine","+ 91  7528031666","5.0","2","Daddal Mohalla","Phagwara"
"Ravi Specialities Pharma Pvt Ltd","+ 91  043126825196","4.3","73","Ramalinganagar South","Trichy"
"Oberoi Medicine Centre","+ 91  8566171845","5.0","6","Near Dr. Raman Aggarwal Eye and Chest Hospital","Phagwara"
"Soni Medicine","+ 91  18252106911","","0","Phagwara Ho","Phagwara"
"Sanchit Medicines Trader","+ 91  9883263703","","0","Phagwara Ho","Phagwara"
