"Name","Phone","Rating","Votes","Locality","City"
"G S Mediaid","+ 91  9883714066","","0","Near Gulmohar School","Amritsar"
"Dhillon Medicine Center","+ 91  7862324830","3.8","108","New Pawan Nagar","Amritsar"
"Khera Medicos","+ 91  7855268893","","0","Khadur Sahib","Amritsar"
"Bibi Surjit Kaur Medical Hall","+ 91  9821027326","5.0","2","","Amritsar"
"New Janta Medical Store","+ 91  9310582255","5.0","2","Maqbool Pura","Amritsar"
"Guru Ramdass Medical Hall","+ 91  8166346113","","0","New Pawan Nagar","Amritsar"
"Lovely Medicos","+ 91  9864753879","3.0","2","Jaintipur","Amritsar"
"Anand Medicos","+ 91  9529345391","1.0","2","Vallah","Amritsar"
"Bhai Ghanaiya Medical Store","+ 91  8067559931","","0","Mehta Chowk","Amritsar"
"Partap Medical Store","+ 91  9776695357","4.5","26","Sheron","Amritsar"
"Kamboj Medical Store","+ 91  9727785721","2.3","3","Jandiala Guru","Amritsar"
"Pradhan Mantri Janaushadi Kendra","+ 91  8546754827","5.0","2","Jandiala Guru","Amritsar"
"Mk Medical Center","+ 91  9963402659","","0","Jandiala Guru","Amritsar"
"Guru Ott Chemists And Druggists","+ 91  9996060448","4.3","5","Golden Avenue","Amritsar"
"Hundal Medicos","+ 91  8823643130","5.0","1","Verka","Amritsar"
"Lal Ji Health Care","+ 91  8121069819","","0","","Amritsar"
"Nirvair Medicos","+ 91  9899829715","4.7","6","Near Mansapuran Sahib","Amritsar"
"Aman Medicos","+ 91  989831791","","0","Verka","Amritsar"
"Dinesh Medicos Laboratory","+ 91  9823780710","","0","Verka","Amritsar"
"Guru Amardas Medical Store","+ 91  94324192","4.5","5","Ajit Nagar","Amritsar"
"Sachar Medicos","+ 91  8189097311","","0","Chawinda Devi","Amritsar"
"Bharat Medical Store","+ 91  9864331378","5.0","1","Rayya","Amritsar"
"Shiva Medicine Centre","+ 91  18398288816","","0","Katra Sher Singh","Amritsar"
"K S Company","+ 91  994300034","","0","Mehta Chowk","Amritsar"
"Dhruv Medical Store","+ 91  9664078522","4.5","4","Ajit Nagar","Amritsar"
"Makkar Medical Store","+ 91  9842305182","","0","Tangra","Amritsar"
"Guru Amardass Medical Store Sandhu 108","+ 91  9726057033","4.5","4","Goindwal","Amritsar"
"Simran Medico","+ 91  9486792660","4.5","8","Pratapnagar","Amritsar"
"Gaurav Madicos","+ 91  977187655","","0","Amritsar","Amritsar"
"Baba Budha Ji Medical Store","+ 91  9491212943","5.0","4","","Amritsar"
"Manjit Medical Store","+ 91  9871255648","5.0","2","Ajit Nagar","Amritsar"
"Devgan Medical Agencies","+ 91  18370599166","5.0","1","Katra Sher Singh","Amritsar"
"Sahib Medicine","+ 91  8896793972","","0","Pratapnagar","Amritsar"
"Sahara Medical Shop","+ 91  9873030932","5.0","6","Indra Colony","Amritsar"
"Harmanjeet Chemist","+ 91  9891033707","4.7","10","Bath","Amritsar"
"Param Pharmaceuticals","+ 91  9846125940","5.0","8","","Amritsar"
"Lipakindia Life Sciences","+ 91  8966603943","","0","Amritsar Gpo","Amritsar"
"Nanda Medical Store","+ 91  9850599190","","0","Tarsikka","Amritsar"
"Shiva Auto Dealer","+ 91  981447135","3.0","4","Shivala Colony","Amritsar"
"Jags Enterprises","+ 91  18348726983","","0","","Amritsar"
"Josan Medical Store","+ 91  9833484855","5.0","3","Jandiala Guru","Amritsar"
"Sukhmani Medical Store","+ 91  9711787125","4.0","2","Jandiala Guru","Amritsar"
"Gs Medicine Store","+ 91  18391958204","","0","","Amritsar"
" Ved Nath Ayurvedic medicines","+ 91  9612881476","3.7","3","Amritsar Bus Stand","Amritsar"
"Guru Kirpa Medical Store","+ 91  9038387549","1.0","4","Amritsar GPO","Amritsar"
"Akal Medico & Clinical Lab","+ 91  9847936095","3.8","5","Kot Mit Singh","Amritsar"
"Punjab Medicos","+ 91  9866835090","5.0","2","Baba Bakala","Amritsar"
"Gagan Medical Store","+ 91  8218375682","4.7","21","Azad Nagar","Amritsar"
"Panth Medical Store","+ 91  8715253619","","0","Verka","Amritsar"
"Khan Clinic","+ 91  9837912123","","0","Rayya","Amritsar"
"Jassi Medicos","+ 91  986828039","","0","Mehta Chowk","Amritsar"
"Kulwinder Medicos","+ 91  018578976712","4.7","2","Rayya","Amritsar"
"Vardaan Medical Center","+ 91  18315024801","3.6","42","Paris Town","Amritsar"
"New Simran Medical Store","+ 91  9876669451","","0","Garden Enclave","Amritsar"
"Dhanju Medicos","+ 91  9892804816","","0","Vallah","Amritsar"
"Doctor Medicine Store","+ 91  9810298263","","0","Islamabad Nagar","Amritsar"
"P B Pharmaceuticals","+ 91  9849837872","4.9","4","Maqbool Pura","Amritsar"
"Kahlon Medical Store","+ 91  9556685750","3.5","4","Verka","Amritsar"
"Satguru Medicos","+ 91  9712957102","","0","Chawinda Devi","Amritsar"
"Satguru Medical Store","+ 91  9837227853","5.0","2","","Amritsar"
"Deep Building Material And Property Dealer","+ 91  9114017497","4.0","10","Amritsar GPO","Amritsar"
"Vicky Medicare","+ 91  8535773680","4.2","13","Kot Atma Ram","Amritsar"
"RAO MEDICARE","+ 91  9824142484","4.7","12","Goindwal","Amritsar"
"Josan Medical Store","+ 91  9927931445","","0","Rayya","Amritsar"
"Radha Swami Medical Store","+ 91  9715495354","5.0","4","","Amritsar"
"Boparai Medical Store","+ 91  982565335","3.0","2","Bath","Amritsar"
"Amar Medical Store","+ 91  999453407","","0","Mehta","Amritsar"
"Harman Chemists & Druggists","","4.0","5","Golden Avenue","Amritsar"
"Swastik Pharma","+ 91  7953348960","5.0","4","Jandiala Guru","Amritsar"
"Satish Medicos","+ 91  9910651333","4.7","4","Verka","Amritsar"
"Shankar Medico","+ 91  18572562649","5.0","1","Rayya","Amritsar"
"Manmeet Medical Hall","+ 91  9840060155","2.8","10","","Amritsar"
"Chohan Medicine Centre","+ 91  9842955557","5.0","2","Tangra","Amritsar"
"Gupta Medicare Store","+ 91  8555593727","5.0","4","Maqbool Pura","Amritsar"
"Jaurh Medical Store","+ 91  9936310232","","0","Sohian Khurd","Amritsar"
"Sawraj Medical Store","+ 91  991541326","4.4","14","Vallah","Amritsar"
"Arashdeep P Kaur","+ 91  9847637022","","0","Khabe Rajputana","Amritsar"
"Satti Medical Store","+ 91  9878466577","","0","Rayya","Amritsar"
"Varindera Medicos ","+ 91  7093796442","5.0","2","Sultanwind","Amritsar"
"Gill Medical Store","+ 91  9868946512","","0","","Amritsar"
"Punjab Medical Store","+ 91  9876548698","4.0","8","Sheron","Amritsar"
"Satnam Medicos","+ 91  9829772208","4.5","4","Near Gurudwara","Amritsar"
"H S Lab","","5.0","1","Amritsar Gpo","Amritsar"
"Bawa Medicos","+ 91  9980046158","","0","Beas","Amritsar"
"Ekam Medical Store","+ 91  9890697701","4.8","13","Bundala Amritsar","Amritsar"
"Medicine Point","+ 91  9937710964","4.8","2","Khalsa College","Amritsar"
"Bhatia Medical Store","+ 91  9883756534","4.0","1","Mehta Chowk","Amritsar"
