"Name","Phone","Rating","Votes","Locality","City"
"SPACE 5","+ 91  9156796791","4.7","24","Ranjit Avenue","Amritsar"
"Bali Property Dealer","+ 91  18385815623","4.9","8","Hall Bazar","Amritsar"
"Doctor Medicine Store","+ 91  9818583702","","0","Islamabad Nagar","Amritsar"
"Chawlas 2","+ 91  018320846047","3.9","379","Ranjit Avenue","Amritsar"
"Amritsar Auto Dealer","+ 91  9472817324","4.4","4","Amritsar GPO","Amritsar"
"Satguru Medicine Agencies","+ 91  9540622277","5.0","6","","Amritsar"
"Snack Bar 2","","4.6","104","","Amritsar"
"Department Of Sports Medicine And Physiotherapy","+ 91  8998752949","4.7","11","Guru Nanak Dev University","Amritsar"
"Medicine Point","+ 91  9948497509","4.8","2","Khalsa College","Amritsar"
"Sunny Medicine Point","+ 91  18317176641","4.9","11","Ranjit Avenue","Amritsar"
"Doctor Medicine Store","+ 91  9811345562","","0","Islamabad Nagar","Amritsar"
"Batra Auto Dealer","+ 91  8927199540","4.4","31","Lahori Gate","Amritsar"
"Rk 2 (OYO 31000)","+ 91  9146612115","2.0","3","Golden Temple","Amritsar"
"Gs Medicine Store","+ 91  18319197327","","0","","Amritsar"
"Doctor Medicine Store","+ 91  9872212506","","0","Islamabad Nagar","Amritsar"
"Simran 5 Kakkars","+ 91  9833068171","5.0","2","Near Jallianwala Bagh","Amritsar"
"Medicine Point","+ 91  9989423160","4.8","2","Khalsa College","Amritsar"
"Chawla Chicken","+ 91  18392202946","3.9","498","Lawrence Road","Amritsar"
"Dhillon Medicine Center","+ 91  781537933","3.8","108","New Pawan Nagar","Amritsar"
"Department Of Sports Medicine And Physiotherapy","+ 91  8986855040","4.7","11","Guru Nanak Dev University","Amritsar"
"R S Handicraft Dealer","+ 91  7564710997","","0","Amritsar","Amritsar"
" Ved Nath Ayurvedic medicines","+ 91  9686325604","3.7","3","Amritsar Bus Stand","Amritsar"
"Kendriya Vidyalaya No 3","","4.4","57","Naraingarh Amritsar","Amritsar"
"Cure Medical Hall","+ 91  018334814309","2.8","7","Amritsar Gpo","Amritsar"
" Ved Nath Ayurvedic medicines","+ 91  9677514490","3.7","3","Amritsar Bus Stand","Amritsar"
"Dhillon Medicine Center","+ 91  7881542536","3.8","108","New Pawan Nagar","Amritsar"
"Dhillon Medicine Center","+ 91  7858138158","3.8","108","New Pawan Nagar","Amritsar"
"Department Of Sports Medicine And Physiotherapy","+ 91  8939335626","4.7","11","Guru Nanak Dev University","Amritsar"
"Seasons 5 Family Salon & Spa","+ 91  9146562859","4.7","18","Ranjit Avenue","Amritsar"
"Chawla 2","+ 91  18313516384","4.1","494","Ranjeet Avenue Block A","Amritsar"
"Cure Medical Hall","+ 91  018381496402","2.8","7","Amritsar Gpo","Amritsar"
"Gadgets 4 Geeks","+ 91  72311971","","0","Joshi Nagar","Amritsar"
"Satguru Medicine Agencies","+ 91  9545309199","5.0","6","","Amritsar"
"Medicine Point","+ 91  9913745505","4.8","2","Khalsa College","Amritsar"
"Sunny Medicine Point","+ 91  18340079506","4.9","11","Ranjit Avenue","Amritsar"
"Gs Medicine Store","+ 91  18344747512","","0","","Amritsar"
"Doctor Medicine Store","+ 91  9844668900","","0","Islamabad Nagar","Amritsar"
"Medicine Point","+ 91  9942766326","4.8","2","Khalsa College","Amritsar"
"Dhillon Medicine Center","+ 91  7879534441","3.8","108","New Pawan Nagar","Amritsar"
" Ved Nath Ayurvedic medicines","+ 91  9668933146","3.7","3","Amritsar Bus Stand","Amritsar"
" Ved Nath Ayurvedic medicines","+ 91  9655751521","3.7","3","Amritsar Bus Stand","Amritsar"
" Ved Nath Ayurvedic medicines","+ 91  9613095522","3.7","3","Amritsar Bus Stand","Amritsar"
"Shiva Auto Dealer","+ 91  9888116029","3.0","4","Shivala Colony","Amritsar"
"Gs Medicine Store","+ 91  183384900","","0","","Amritsar"
"Gs Medicine Store","+ 91  18364832684","","0","","Amritsar"
"Cure Medical Hall","+ 91  018352214089","2.8","7","Amritsar Gpo","Amritsar"
"Chawlas 2 Fine Dine","+ 91  18363559361","3.9","448","Ranjit Avenue","Amritsar"
"Deep Building Material And Property Dealer","+ 91  91113985","4.0","10","Amritsar GPO","Amritsar"
"Medicine Point","+ 91  9925381394","4.8","2","Khalsa College","Amritsar"
"Cure Medical Hall","+ 91  018369267303","2.8","7","Amritsar Gpo","Amritsar"
