"Name","Phone","Address"

"Regenta Central by Royal Or...","+ 91  183 5222222",""
"Jai Resort","+ 91  8427798982",""
"Park Hotel","+ 91  183 2228722",""
"P R Residency","+ 91  7508888978",""
"Heaven Blu","+ 91  183 5097935",""
"Country Inn Hotels & Resorts","+ 91  183 5020060",""
"Olive Garden Hotel","+ 91  183 2111441",""
"Mukesh Decoration Corner","+ 91  9988738463",""
"Rainbow Resorts","+ 91  183 2221308",""
"Hotel Lawrence","+ 91  183 2400105",""
"Hotel raj Continental","+ 91  183 2566990",""
"Sarhad Food & Culture Park","+ 91  183 2382000",""
"Golden View Hotel & Resorts","+ 91  183 3293737",""
"HOTEL ANAND","+ 91  183 2551114",""
"Haweli Resorts","+ 91  183 6570568",""
"Bercos Restaurant","+ 91  183 6535222",""
"Hotel Royal Palace","+ 91  183 2276724",""
"Swarn Palace","+ 91  183 2705538",""
"Hotel Sheetal Palace","+ 91  183 2229062",""
"Pashawarian Hall","+ 91  183 2562710",""
"B R Resorts","+ 91  9814121675",""
"Aviruchis Flour Fairy","+ 91  183 2422242",""
"Sifti International","+ 91  9464854986",""
"H S Resorts","+ 91  9779059866",""
"Ravindra Intl","+ 91  183 2580013",""
"Hotel milan palace","+ 91  9417145959",""
"Marriage Inn","+ 91  183 2580321",""
"Royal Palace","+ 91  183 2563371",""
"Manjha Farm","+ 91  9815617430",""
"Pearl Grand Banquets","+ 91  183 2643131",""
"The Greens Resort","+ 91  9872654445",""
"Richi Rich International","+ 91  8968858586",""
"Rose Banquet Hall","+ 91  7508567560",""
"The Banquet","+ 91  183 2562836",""
"Veenus Palace","+ 91  183 2509568",""
"Basant Palace","+ 91  183 5094481",""
"Pink Palace","+ 91  183 2230387",""
"Preet Palace","+ 91  183 2565640",""
"Pushpawati Marriage Palace","+ 91  183 2272715",""
"Randhawa Palace","+ 91  183 2583843",""
"Sangam Palace","+ 91  183 2585877",""
"Star Palace","+ 91  183 2225856",""
"Sukhi Banquets","+ 91  183 2504335",""
"Ujjwal Palace","+ 91  183 2450787",""
"Wonderland Marriage Palace","+ 91  183 2571812",""
"Anmol Palace","+ 91  183 2228037",""
"Deep Palace","+ 91  183 2485430",""
"Himmat Mahal","+ 91  183 2476500",""
"Durga Palace","+ 91  183 2241271",""
"Hotel Central Mall Suites","+ 91  183 3224141",""
"SONU PALACE","+ 91  9356361319",""
"Abhi continental","+ 91  7508314727",""
"CHADHA HOUSE","+ 91  9815811777",""
"Sej Banquet","+ 91  183 2403927",""
"KAMAL BANQUETS","+ 91  183 2970029",""
"Kamal Palace","+ 91  183 2228778",""
"New quality veg & non-veg bar","+ 91  9814049213",""
"HOTEL RAJ PALACE","+ 91  183 2276724",""
"Lachman House Marriage Palace","+ 91  9878290383",""
"The Brother Resort","+ 91  9814681289",""
"raju palace","+ 91  183 2259529",""
"Vidiya Garden Marriage Palace","+ 91  9501543472",""
"The Grand Ballroom","+ 91  183 6611111",""
"The Chamber","+ 91  183 6611111",""
"Pabby Banquet Hall","+ 91  7837075412",""
"PABBY BANQUET","+ 91  9357187013",""
"Sukhdeep International","+ 91  183 5003186",""
"Dream Land","+ 91  183 2476969",""
"Swagat The Marriage Palace","+ 91  9815431199",""
"Lal Mahal Resort","+ 91  8427892233",""
"Majha Farm","+ 91  9815536560",""
"Nagpal Marriage Bureau","+ 91  9878268579",""
"Hotel M J Royal","+ 91  183 5011010",""
"Narang Palace","+ 91  9888625354",""
"Arora Palace","+ 91  183 2258666",""
"Baljeet matrimony","+ 91  9814425756",""
"Padhari Farm","+ 91  9872136755",""
"Royal Farm","+ 91  9814132743",""
"Green Velley Hotel","+ 91  9814046599",""
