"Name","Phone","Address"

"Satguru Autos","+ 91  9417057042","majitha road, Amritsar - 143001, Opposite Oven Fresh"
"Muthoot Finance Ltd","+ 91  183 5058175","Ground Floor,Property No 803/6, Majitha Mandi, Amritsar - 143006, Bazar Ganda Wala,near central bank"
"Kundra financial service","+ 91  9781127999","Opp anand pur kutia, Islamabad, Amritsar - 143001, Near baba balk nath Mandir"
"Muthoot Finance Limited","+ 91  183 2265112","First Floor, Batala Road, Amritsar - 143002, Above SBI Bank,near petrol pump"
"Nikhil Enterprises","+ 91  9646356550","Near Celebration Mall, Batala Road, Krishna Square, Amritsar - 143001, Opposite Pabby Banquet"
"SBI LOAN SPECIALIST","+ 91  9501632695","ISLAMABAD, Amritsar - 143001, opp anandpur sahib kutia"
"Muthoot Finance Pvt ltd","+ 91  183 5059070","Upper Grd Flr, 8148, Jubli Cplx, Sultanwind Rd, Amritsar - 143001"
"Chadha Consultant","+ 91  8556962625","Ghee Mandi, 1518/13, Amritsar - 143001, Opp Bhai Veer Singh Shivala Mandir"
"Himanshu loan consultant AXIX ...","+ 91  8558992332","Ranjit avenue, Amritsar - 143002, near passport office"
"BLD FINANCIAL CONSULTANT","+ 91  8054142824","KABIR PARK, Amritsar - 143002, GNDU"
"Muthoot Fincorp LTD","+ 91  161 2770964","Sco- 14, 1st Floor, Amritsar, Ludhiana - 143002, Firoz Gandhi Market
(Also serves AMRITSAR)"
"Golduno","+ 91  22 39366501","23/ 1/ 1, Nirmal Nagar, Khar East, Mumbai - 400051, Near Nirmal Nagar School"
"JAY Kay Financial Service","+ 91  9855549381","Opp Dara Building, Verka Fatak Road, Shastri Nagar, Amritsar - 143001"
"Kataria Jewellery Insurance Co...","+ 91  9878694679","Dwarkadeesh Complex, Queens Road, Amritsar - 143002"
"Nirman Financial Services","+ 91  9814412277","Plot-1, Court Road, Amritsar - 143002, Mall Road"
"Lucky finance","+ 91  9814450450","main road, new kot atma ram, Amritsar - 143002, gurdwara toot sahib"
"Sai Advertiser","+ 91  9517521123","New surender chaudhary market, Shimla market putlighar bazaar, PUTLIGHAR BAZAAR, Amritsar - 143002, near Bedi school govt school"
"Manappuram Finance LTD.","+ 91  183 2570089","Building No. 542, Ist Floor, Joshi Complex, Majitha Road, Majitha, AMRITSAR - 143601, Near Nanak Hospital, Amritsar"
"GAJA FINANCE","+ 91  183 5059091","Unit No Lgf-3, Eminent Mall,Plot No 10, Kennedy Avenue, Amritsar - 143001"
"Muthoot Fincorp Ltd","+ 91  183 2228448","first floor.door no.3590,Dakha Complex, G T Road,putlighar, Ranjit Avenue, Amritsar - 143001, Adjoining Ranjit hospital"
"Manappuram Finance Ltd","+ 91  183 2558440","Building Number 62, First Floor,Citi Centre, Gt Road, AMRITSAR - 143002, Near Bus Stand"
"Manappuram Finance LTD","+ 91  183 2550228","Amritsar Cantt, Amritsar - 143001, Opposite Hindu Sabha College,Above PNB Bank"
"Muthoot Fincorp Ltd","+ 91  183 2550197","plot no.94/7, 1st Floor, dhab wastiram nr,majith mandi, Amritsar - 143001, above HDFC Bank, Near Fire Brigade Station, Majith Mandi"
"Financial Hub","+ 91  9814043481","1-a Basement Aangan Resturant ,, Queens Road, Amritsar - 143001, Opposite Alexandra School"
"IIFL Gold Loan","+ 91  9781117751","First Floor, RS Tower, Amritsar - 143001, Above HDFC Bank, Hall Bazar"
"IIFL Gold Loan","+ 91  183 2211255","111, Jewel Plaza, First Floor, Lawrence Road, Amritsar - 143001, Opp Ritu Wears"
"Manappuram Finance LTD","+ 91  183 2263161","Imigration Building, Ist Floor, Batala Road, AMRITSAR - 143001, Opp. Rishabh Auto"
"IIFL Gold Loan","+ 91  183 2500563","Sco 22, 1st Flr, Ranjeet Avenue, Amritsar - 143002"
"Manappuram Finance Ltd","+ 91  183 2501908","Khasra Number 402, First Floor, Ranjit Avenue, AMRITSAR - 143001, Near M K Hotel, B Block"
"Muthoot Finance Pvt ltd","+ 91  183 5069074","1st Floor, Deep Complex, Court Road, Amritsar - 143002, Above Indian Overseas Bank"
"IIFL Gold Loan Finance Ltd","+ 91  183 2210007","First Floor, G T Road, AMRITSAR - 143001, Opposite Ganga Building, Putli Ghar"
"Muthoot Finance Ltd","+ 91  183 5012019","3rd Flr, Sony Tower 5, Lawrence Road, Amritsar - 143001"
"Muthoot Fincorp Ltd","+ 91  183 2536331","No 107/1, Shop No 5, Lower Ground Floor , Rs Tower, Amritsar - 143002, Hall Bazar"
