"Name","Phone","Address"

"Gurukul Tution centre","+ 91  8054504909",""
"ONS IAS Academy","+ 91  183 6571198",""
"Brilliant Coaching Centre","+ 91  8054027747",""
"Varundev coaching centre","+ 91  9872894929",""
"Toppers Academy","+ 91  183 5067569",""
"Rohin Tuition Centre","",""
"Tuitions & Home Tutors","+ 91  9781068916",""
"Khullars Classes","+ 91  183 2550557",""
"Anand Academy","+ 91  9023985828",""
"Harpreet coaching centre","+ 91  9646345424",""
"Education Planet","+ 91  9779151713",""
"Teaching with audio visual tec...","+ 91  9915169044",""
"nitepeie institute","+ 91  9876912431",""
"Bedi House of Mathematics","+ 91  9815600107",""
"The Remedies English For The R...","+ 91  9988839484",""
"Scoring Mantraa","+ 91  7307182563",""
"SAI Infotech & Visa Consultancy","+ 91  9878006003",""
"Wissen Academy","+ 91  172 4025884",""
"Punjab State Leather DEV Corpo...","+ 91  172 2778232",""
"sri sri academy","+ 91  183 2272192",""
"Excel Coaching Centre","+ 91  8427865511",""
"Challenge To Win","+ 91  9464051610",""
"Global Tech Career Institute S...","+ 91  183 5062593",""
"Easy Learning","+ 91  9855352293",""
"bhawana tutorial","+ 91  8872210897",""
"X-CEL ACADEMY","+ 91  9780372189",""
"Pulkit Tuition Centre","+ 91  9803962675",""
"Radiance Institute","+ 91  183 5080005",""
"Nirmal Tuition Centre","+ 91  9592661783",""
"Lath Institute","+ 91  9463724265",""
"IBEST INSTITUTE OF BANKING AND...","+ 91  183 5002004",""
"Ramiit Technologies Institute ...","+ 91  183 5057651",""
"R.K. INSTITUTE ISO CERTIFIED","+ 91  8968500546",""
"Vidyalankar Classes","+ 91  183 5026502",""
"Success Academy","+ 91  9872131420",""
"Radical Institute","+ 91  183 2220708",""
"STRONG BASICS INSTITUTE","+ 91  8557063968",""
"Easy Learning Centre","+ 91  183 2421595",""
"Tuli s The Academy","+ 91  9888808693",""
"Mak Institute","+ 91  183 6555516",""
"Purti Tutorials","+ 91  9646056262",""
"Sharp Institutes","+ 91  8054938303",""
"Master Kids","+ 91  183 2585980",""
"Bright Future Acadamy","+ 91  9653418755",""
"Need India Career Institute","+ 91  8437860605",""
"Kumars Khana Khazana","+ 91  8968952852",""
"Vansh Career Consultant","+ 91  9780649824",""
"Gobind Academia","+ 91  183 5065379",""
"Sterling Studies","+ 91  9815554371",""
