"Name","Phone","Rating","Votes","Locality","City"
"Dairy Don","+ 91  9956250498","4.0","613","Kings Circle","Mumbai"
"Dairy Don","+ 91  9235934191","3.9","387","Vile Parle East","Mumbai"
"Dairy Don","+ 91  8675576633","4.0","496","Shanti Park-Mira Road","Mumbai"
"Dairy Don","+ 91  8651283300","4.0","496","Shanti Park-Mira Road","Mumbai"
"Dairy Don","+ 91  8680230277","4.0","496","Shanti Park-Mira Road","Mumbai"
"Dairy Don","+ 91  9838580526","4.1","343","Borivali West","Mumbai"
"dairy shop","+ 91  7585325331","2.5","2","Kandivali West","Mumbai"
"Dairy Don","+ 91  9826308043","4.1","343","Borivali West","Mumbai"
"Dairy Shop","+ 91  9946254507","","0","Dahisar","Mumbai"
"dairy shop","+ 91  7514485014","2.5","2","Kandivali West","Mumbai"
"dairy shop","+ 91  7564352341","2.5","2","Kandivali West","Mumbai"
"Dairy Don","+ 91  9257856969","3.9","387","Vile Parle East","Mumbai"
"Dairy Don","+ 91  9913783378","4.1","509","Kandivali West","Mumbai"
"Dairy Shop","+ 91  9931750042","","0","Dahisar","Mumbai"
"Dairy Shop Navi Mumbai","+ 91  9892055789","4.5","1","Uran","Mumbai"
"dairy shop","+ 91  7575453218","2.5","2","Kandivali West","Mumbai"
"dairy shop","+ 91  7525925148","2.5","2","Kandivali West","Mumbai"
"Dairy Don","+ 91  9960085170","4.1","509","Kandivali West","Mumbai"
"Dairy Don","+ 91  9828241565","4.1","343","Borivali West","Mumbai"
"Dairy Don","+ 91  998342922","4.1","509","Kandivali West","Mumbai"
"Dairy Shop Navi Mumbai","+ 91  9898553880","4.5","1","Uran","Mumbai"
"Dairy Don","+ 91  9829767068","4.1","343","Borivali West","Mumbai"
"Dairy Don","+ 91  022 97306273","4.1","552","Jogeshwari West","Mumbai"
"Dairy Development Department","+ 91  022 14084700","","","Worli","Mumbai"
"Dairy Shop Navi Mumbai","+ 91  9883141868","4.5","1","Uran","Mumbai"
"Dairy Shop","+ 91  9994360616","","0","Dahisar","Mumbai"
"Dairy Don","+ 91  9843253889","4.1","343","Borivali West","Mumbai"
"Dairy Development Department","+ 91  022 56397697","","","Worli","Mumbai"
"Dairy Development Department","+ 91  022 76989192","","","Worli","Mumbai"
"Dairy Don","+ 91  862216166","4.0","496","Shanti Park-Mira Road","Mumbai"
"Dairy Don","+ 91  9956874239","4.1","509","Kandivali West","Mumbai"
"Dairy Don","+ 91  9278155716","3.9","387","Vile Parle East","Mumbai"
"Dairy Don","+ 91  9934784679","4.0","613","Kings Circle","Mumbai"
"Dairy Don","+ 91  9272407923","3.9","387","Vile Parle East","Mumbai"
"Dairy Shop","+ 91  9960501104","","0","Dahisar","Mumbai"
"Dairy Shop Navi Mumbai","+ 91  9873953292","4.5","1","Uran","Mumbai"
"Dairy Don","+ 91  022 16771379","4.1","552","Jogeshwari West","Mumbai"
"Dairy Shop","+ 91  9914630819","","0","Dahisar","Mumbai"
"Dairy Don","+ 91  9978460883","4.0","613","Kings Circle","Mumbai"
"Dairy Don","+ 91  022 9639277","4.1","552","Jogeshwari West","Mumbai"
"Dairy Shop Navi Mumbai","+ 91  9873774815","4.5","1","Uran","Mumbai"
"Dairy Don","+ 91  9911109446","4.0","613","Kings Circle","Mumbai"
"Dairy Development Department","+ 91  022 90175719","","","Worli","Mumbai"
"Dairy Don","+ 91  9273726086","3.9","387","Vile Parle East","Mumbai"
"Dairy Don","+ 91  022 20280950","4.1","552","Jogeshwari West","Mumbai"
"Dairy Don","+ 91  9932541366","4.1","509","Kandivali West","Mumbai"
"Dairy Development Department","+ 91  022 94336590","","","Worli","Mumbai"
"Dairy Don","+ 91  8694226764","4.0","496","Shanti Park-Mira Road","Mumbai"
"Dairy Don","+ 91  9915691117","4.0","613","Kings Circle","Mumbai"
"Dairy Don","+ 91  022 85615450","4.1","552","Jogeshwari West","Mumbai"
