"Name","Phone","Rating","Votes","Locality","City"
"Dr. Lal PathLabs","+ 91  96839364","4.5","2","Kathua Ho","Kathua"
"Dr. S K Abrol","+ 91  9466954210","4.5","2","Kathua Ho","Kathua"
"Dr. Sachin Gupta","+ 91  9769977625","4.7","3","Kathua Ho","Kathua"
"Dr. Rohit Bhadwal Dental Clinic","+ 91  9013523299","5.0","3","Kathua Ho","Kathua"
"Dr. Abhishek Mahajan","","5.0","2","Kathua Ho","Kathua"
"Dr. Lal PathLabs","+ 91  019222245998","5.0","1","Hira Nagar","Kathua"
"UMPL","+ 91  9077947540","","0","Kathua HO","Kathua"
"Dr. Anil Gupta","","3.5","3","Kathua Ho","Kathua"
"Dr. Rajeev Mengi","","2.9","5","Kathua Ho","Kathua"
"Dr. Pushpa Raina","+ 91  9476872739","2.8","4","Kathua Ho","Kathua"
"Dr. Jaswant Singh Jasrotia","+ 91  9454532340","4.4","4","Kathua Ho","Kathua"
