"Name","Phone","Rating","Votes","Locality","City"
"Colonels Retreat Home","+ 91  9549547774","4.3","380","Gandhinagar","Jammu"
"Medicare Nursing Home","+ 91  19152285532","3.9","41","Gandhinagar Jammu","Jammu"
"Vatsalya Nursing Home","+ 91  19157024421","4.3","6","Gandhinagar Jammu","Jammu"
"Medicare Nursing Home","+ 91  19179855467","3.9","41","Gandhinagar Jammu","Jammu"
"IFB HOME Appliances AND Service","+ 91  7055013687","5.0","4","Talab Tillo","Jammu"
"Colonels Retreat Home","+ 91  9579479738","4.3","380","Gandhinagar","Jammu"
"Triveni Nursing Home","+ 91  19171228602","3.8","28","Gandhinagar Jammu","Jammu"
"Care N Cure Nursing Home","+ 91  19110455101","3.8","30","Trikuta Nagar","Jammu"
"Studio Page 3 Salon","+ 91  9056729593","4.6","10","Above Pizza Hut","Opposite Bahu Plaza"
"The Medicine House","+ 91  944998429","","0","Link Road","Jammu"
"Care N Cure Nursing Home","+ 91  19178268038","3.8","30","Trikuta Nagar","Jammu"
"Healthcare Home","+ 91  9923616664","3.4","81","Sidhra Housing Colony","Jammu"
"Complete Home Solutions","+ 91  7855710254","3.8","88","Near Kargil Colony","Jammu"
"IFB HOME Appliances AND Service","+ 91  7088412182","5.0","4","Talab Tillo","Jammu"
"Complete Home Solutions","+ 91  7864717660","3.8","88","Near Kargil Colony","Jammu"
"Chawlas 2 Jammu","+ 91  9728554919","3.6","132","Gandhinagar Jammu","Jammu"
"Care N Cure Nursing Home","+ 91  19176831752","3.8","30","Trikuta Nagar","Jammu"
"Suvidha Mother & Child Nursing Home","+ 91  19163690391","3.9","41","Talab Tillo","Jammu"
"Care N Cure Nursing Home","+ 91  1919959792","3.8","30","Trikuta Nagar","Jammu"
"Bhushan Radio 2","+ 91  9697072106","4.3","107","Gandhinagar Jammu","Jammu"
"The Medicine House","+ 91  9445589108","","0","Link Road","Jammu"
"Healthcare Home","+ 91  9965479913","3.4","81","Sidhra Housing Colony","Jammu"
"Suvidha Mother & Child Nursing Home","+ 91  19195678005","3.9","41","Talab Tillo","Jammu"
"Care N Cure Nursing Home","+ 91  19110550427","3.8","30","Trikuta Nagar","Jammu"
"Suvidha Mother & Child Nursing Home","+ 91  19112716679","3.9","41","Talab Tillo","Jammu"
"Spicy Grillz 2","+ 91  9953188998","3.1","143","Channi Himmat","Jammu"
"Triveni Nursing Home","+ 91  1912068053","3.8","28","Gandhinagar Jammu","Jammu"
"Medicare Nursing Home","+ 91  19110721657","3.9","41","Gandhinagar Jammu","Jammu"
"Medicare Nursing Home","+ 91  19143068131","3.9","41","Gandhinagar Jammu","Jammu"
"Triveni Nursing Home","+ 91  19130809933","3.8","28","Gandhinagar Jammu","Jammu"
"Delivery Pvt Ltd","+ 91  12466608515","2.1","71","Near Shiv Mandir","Jammu"
"Complete Home Solutions","+ 91  7842320009","3.8","88","Near Kargil Colony","Jammu"
"Noon 2 Nite","+ 91  7265139200","3.5","119","Gandhinagar Jammu","Jammu"
"Medicare Nursing Home","+ 91  1917130178","3.9","41","Gandhinagar Jammu","Jammu"
"IFB HOME Appliances AND Service","+ 91  7040719061","5.0","4","Talab Tillo","Jammu"
"Healthcare Home","+ 91  9922062179","3.4","81","Sidhra Housing Colony","Jammu"
"Complete Home Solutions","+ 91  7866122018","3.8","88","Near Kargil Colony","Jammu"
"Vatsalya Nursing Home","+ 91  19133793206","4.3","6","Gandhinagar Jammu","Jammu"
"Triveni Nursing Home","+ 91  19173539058","3.8","28","Gandhinagar Jammu","Jammu"
"Suvidha Mother & Child Nursing Home","+ 91  19161636967","3.9","41","Talab Tillo","Jammu"
"The Medicine House","+ 91  9443987736","","0","Link Road","Jammu"
"The Medicine House","+ 91  9477788803","","0","Link Road","Jammu"
"Colonels Retreat Home","+ 91  9537482633","4.3","380","Gandhinagar","Jammu"
"The Medicine House","+ 91  9478147494","","0","Link Road","Jammu"
"Healthcare Home","+ 91  9961244518","3.4","81","Sidhra Housing Colony","Jammu"
"Suvidha Mother & Child Nursing Home","+ 91  19135184953","3.9","41","Talab Tillo","Jammu"
"Colonels Retreat Home","+ 91  952318773","4.3","380","Gandhinagar","Jammu"
"IFB HOME Appliances AND Service","+ 91  7020335255","5.0","4","Talab Tillo","Jammu"
"Colonels Retreat Home","+ 91  9551239559","4.3","380","Gandhinagar","Jammu"
"Healthcare Home","+ 91  9985915193","3.4","81","Sidhra Housing Colony","Jammu"
