"Name","Phone","Rating","Votes","Locality","City"
"Jann Mineral Products","+ 91  019185125381","","0","Udhampur","Udhampur"
"Honda Siel Power Products Ltd","+ 91  9439200399","4.5","2","Udhampur","Udhampur"
"Jann Mineral Products","+ 91  019166064553","","0","Udhampur","Udhampur"
"Jann Mineral Products","+ 91  019172134506","","0","Udhampur","Udhampur"
"Honda Siel Power Products Ltd","+ 91  9466799590","4.5","2","Udhampur","Udhampur"
"Kendriya Vidyalaya No 2","+ 91  1991738686","","0","Udhampur HO","Udhampur"
"Sonu 2 Communication","+ 91  9476987509","5.0","2","Udhampur HO","Udhampur"
"Page 3 Ladies Salon","+ 91  8097999955","4.9","30","Near Saiian Talab ","Udhampur"
"Everest Cement Products","+ 91  19989944674","","0","RATHIAN","Udhampur"
"Jann Mineral Products","+ 91  019124137022","","0","Udhampur","Udhampur"
"Everest Cement Products","+ 91  19929669605","","0","RATHIAN","Udhampur"
"Honda Siel Power Products Ltd","+ 91  9412096826","4.5","2","Udhampur","Udhampur"
"Honda Siel Power Products Ltd","+ 91  9414830651","4.5","2","Udhampur","Udhampur"
"Everest Cement Products","+ 91  19930468642","","0","RATHIAN","Udhampur"
"Honda Siel Power Products Ltd","+ 91  9499591008","4.5","2","Udhampur","Udhampur"
"Sonu 2 Communication","+ 91  9051086516","5.0","1","Udhampur HO","Udhampur"
"The J And K Bank 2","+ 91  19977622777","","0","Udhampur HO","Udhampur"
"Jann Mineral Products","+ 91  019176706533","","0","Udhampur","Udhampur"
"Everest Cement Products","+ 91  19932315721","","0","RATHIAN","Udhampur"
"Jai Maa 2 Communication","+ 91  98795512","","0","","Udhampur"
"The J&K Bank 2","+ 91  01914057277","","0","Udhampur","Udhampur"
"Everest Cement Products","+ 91  19966951142","","0","RATHIAN","Udhampur"
"Step Up Two Computers","+ 91  9766837519","1.0","1","Udhampur HO","Udhampur"
