"Name","Phone","Rating","Votes","Locality","City"
"Ram Dev Dairy","+ 91  7387389726","","0","Pathankot","Pathankot"
"Sartaz Dairy","+ 91  9491605506","5.0","1","Pathankot","Pathankot"
"Kanhaiyya Malganga Milk & Agro Product Pvt.ltd","+ 91  02481392786","4.2","185","Nighoj","Ahmednagar"
"Raman dairy ","+ 91  8577471644","","0","Dhangu Road","Pathankot"
"Chawla Dairy","+ 91  9883984547","","0","Pathankot","Pathankot"
"Joginder Dairy","+ 91  8097769442","","0","Pathankot","Pathankot"
"Vro Enterprises","+ 91  9192022504","3.9","56","Kalyan City","Mumbai"
"Upkaar Dairy","+ 91  9351880587","4.5","14","Civil Lines","Ludhiana"
"Chawla","+ 91  986129962","4.5","4","Pathankot","Pathankot"
"Shri Guru Teg Bhadur Dairy","+ 91  9853997961","3.5","4","Dhangu Road","Pathankot"
