"Name","Phone","Rating","Votes","Locality","City"
"Jandial Medicines","+ 91  18624006440","","0","","Pathankot"
"Vishal Medicine Co","+ 91  18650092406","","0","Dhangu Road","Pathankot"
"Bharat Medicines","+ 91  18676229744","4.5","2","Dhangu Road","Pathankot"
"National Medicine Agency","+ 91  7825745787","","0","Pathankot","Pathankot"
"Om Medicine Centre","+ 91  9490416770","4.3","3","Pathankot","Pathankot"
"Talk 2 Me Communication","+ 91  9873677488","3.9","22","Near Kali Mata Mandir","Pathankot"
"Radhika Medicine Centre","+ 91  949130320","4.5","1","Opposite Punjab Gramin Bank","Pathankot"
"Om Medicine Centre","+ 91  9423317568","4.3","3","Pathankot","Pathankot"
"Natraj Medicine Centre","+ 91  9892405570","","0","Dhangu Road","Pathankot"
"Bharat Medicines","+ 91  1862912206","4.5","2","Dhangu Road","Pathankot"
"Jandial Medicines","+ 91  18686425809","","0","","Pathankot"
"Kiran Medicine Agency","+ 91  9813532867","","0","Municipal Colony","Pathankot"
"National Medicine Agency","+ 91  7854173483","","0","Pathankot","Pathankot"
"Om Medicine Centre","+ 91  9481019657","4.3","3","Pathankot","Pathankot"
"Om Medicine Centre","+ 91  9427809913","4.3","3","Pathankot","Pathankot"
"Bharat Medicine Co.","+ 91  9825434224","5.0","1","Pathankot","Pathankot"
"National Medicine Agency","+ 91  7888625065","","0","Pathankot","Pathankot"
"Talk 2 Me Communication","+ 91  9866396014","","0","","Pathankot"
"Radhika Medicine Centre","+ 91  9456167111","4.5","1","Opposite Punjab Gramin Bank","Pathankot"
"3 Way Tour And Travel","+ 91  7960967133","","0","Mamoon","Pathankot"
"High Class Interior - Wallpaper & Blinds Wholesaler","+ 91  758611747","4.9","78","Municipal Colony","Pathankot"
"Jandial Medicines","+ 91  18650541583","","0","","Pathankot"
"Bharat Medicine Co.","+ 91  9811913226","5.0","1","Pathankot","Pathankot"
"Kiran Medicine Agency","+ 91  9814313815","","0","Municipal Colony","Pathankot"
"Jandial Medicines","+ 91  1863509513","","0","","Pathankot"
"Jandial Medicines","+ 91  18627017851","","0","","Pathankot"
"Radhika Medicine Centre","+ 91  946059524","4.5","1","Opposite Punjab Gramin Bank","Pathankot"
"Fuelz 4 musclez","+ 91  7524645413","4.4","4","Mission Road","Pathankot"
"Bharat Medicine Co.","+ 91  9897023772","5.0","1","Pathankot","Pathankot"
"Page 3 Unisex Salon & Spa","+ 91  973968832","4.1","278","Pathankot","Pathankot"
"Radhika Medicine Centre","+ 91  9486149953","4.5","1","Opposite Punjab Gramin Bank","Pathankot"
"Kiran Medicine Agency","+ 91  9820485031","","0","Municipal Colony","Pathankot"
"National Medicine Agency","+ 91  7898682256","","0","Pathankot","Pathankot"
"4 Corner Success","","","0","Near Thangal Hospital","Pathankot"
"Bharat Medicine Co.","+ 91  9886315500","5.0","1","Pathankot","Pathankot"
"Kiran Medicine Agency","+ 91  9820867031","","0","Municipal Colony","Pathankot"
"Arora Scrap wholesaler","+ 91  9913682104","","0","Pathankot","Pathankot"
"Radhika Medicine Centre","+ 91  9490628273","4.5","1","Opposite Punjab Gramin Bank","Pathankot"
"Bharat Medicines","+ 91  18662591834","4.5","2","Dhangu Road","Pathankot"
"National Medicine Agency","+ 91  789069248","","0","Pathankot","Pathankot"
"Bharat Medicines","+ 91  18635069688","4.5","2","Dhangu Road","Pathankot"
"Om Medicine Centre","+ 91  9498078607","4.3","3","Pathankot","Pathankot"
"Fuelz 4 Musclez","+ 91  9497967635","","0","Pathankot","Pathankot"
"Bharat Medicines","+ 91  18654017601","4.5","2","Dhangu Road","Pathankot"
"Kiran Medicine Agency","+ 91  9862965880","","0","Municipal Colony","Pathankot"
"Natraj Medicine Centre","+ 91  983416164","","0","Dhangu Road","Pathankot"
"Cement Wholesaler","+ 91  7834997303","","0","Near By Ishar Dhaba ","Pathankot"
"Pvr-2","+ 91  018612353821","4.6","5","Dalhousie Road-Pathankot","Pathankot"
"Bharat Medicine Co.","+ 91  9824561493","5.0","1","Pathankot","Pathankot"
